FIPS_TRACT,FIPS_BLKGP,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,intersection_density,proximity_transit,employment_mix,emp_housing_mix,emp_hou_mix_rank,emp_mix_rank,int_density_rank,prox_transit_rank,walkability_index,walkability_bins
51540000401,515400004011,51,540,000401,1,275.5849882,233.35,0.76819002,0.612648954,14,18,20,19,18.33333333,Most Walkable
51079030102,510790301024,51,079,030102,4,4.894519396,NA,0.444947868,0.345462675,6,7,4,1,3.833333333,Least Walkable
51079030200,510790302003,51,079,030200,3,4.046558339,NA,0.656789189,0.785797754,18,14,4,1,7,Below Average Walkable
51079030101,510790301011,51,079,030101,1,2.784548903,NA,0.692030823,0.33353843,6,15,3,1,4.833333333,Least Walkable
51079030102,510790301021,51,079,030102,1,2.466055957,NA,0.489516676,0.377529558,7,8,3,1,3.833333333,Least Walkable
51079030101,510790301012,51,079,030101,2,6.076011461,NA,0.783704334,0.750087329,18,18,4,1,7.666666667,Below Average Walkable
51079030102,510790301023,51,079,030102,3,12.19528749,NA,0.549029828,0.336253212,6,10,5,1,4.666666667,Least Walkable
51079030200,510790302001,51,079,030200,1,12.97459062,NA,0.700694028,0.553503338,12,15,5,1,6.5,Below Average Walkable
51003011302,510030113021,51,003,011302,1,52.80144996,795.28,0.537890613,0.292137895,5,9,10,14,10.33333333,Below Average Walkable
51003010300,510030103002,51,003,010300,2,8.558789612,NA,0.361878503,0.281739243,4,5,5,1,3.5,Least Walkable
51003010202,510030102022,51,003,010202,2,6.851359037,NA,0.504668811,0.501483532,10,8,4,1,4.666666667,Least Walkable
51003010601,510030106013,51,003,010601,3,74.71207621,398.31,0.845924702,0.853907961,20,20,12,17,16.33333333,Most Walkable
51003010500,510030105001,51,003,010500,1,4.32839937,NA,0.547543361,0.239748196,4,10,4,1,4,Least Walkable
51003010402,510030104021,51,003,010402,1,4.144410494,NA,0.653864943,0.76153174,18,14,4,1,7,Below Average Walkable
51003011303,510030113032,51,003,011303,2,24.4331952,791.26,0.629744048,0.641476921,14,13,7,14,11.5,Above Average Walkable
51003010902,510030109021,51,003,010902,1,24.59442759,1139.95,0.522265657,0.62663031,14,9,7,13,10.5,Below Average Walkable
51003010902,510030109022,51,003,010902,2,175.3848035,336.62,0,0,1,1,19,17,12.33333333,Above Average Walkable
51125950300,511259503001,51,125,950300,1,1.914870299,NA,0.787057109,0.663541777,15,18,2,1,6.5,Below Average Walkable
51003011400,510030114001,51,003,011400,1,1.81393976,NA,0.734517593,0.554090365,12,17,2,1,5.833333333,Below Average Walkable
51003011400,510030114004,51,003,011400,4,1.207264885,NA,0.634172755,0.192835071,3,13,2,1,3.666666667,Least Walkable
51003010401,510030104012,51,003,010401,2,1.379070892,NA,0.582400146,0.557992174,12,11,2,1,4.833333333,Least Walkable
51003010100,510030101001,51,003,010100,1,3.663068161,NA,0.466922959,0.291288023,5,7,3,1,3.333333333,Least Walkable
51003010903,510030109032,51,003,010903,2,600.8838284,485.49,0.200952398,0.507617504,10,2,20,16,14,Above Average Walkable
51003011303,510030113031,51,003,011303,1,46.7968832,NA,0.893437971,0.85763353,20,20,9,1,10,Below Average Walkable
51003011100,510030111002,51,003,011100,2,27.89444711,NA,0.677164678,0.422311616,8,15,7,1,6.5,Below Average Walkable
51003010901,510030109011,51,003,010901,1,73.84346367,NA,0.665338744,0.788754536,18,14,12,1,9.666666667,Below Average Walkable
51003010901,510030109012,51,003,010901,2,114.5300311,614.23,0.399158777,0.869131756,20,6,15,15,14.33333333,Above Average Walkable
51003010300,510030103001,51,003,010300,1,57.19637107,NA,0.761789251,0.62584065,14,18,10,1,9,Below Average Walkable
51003011000,510030110002,51,003,011000,2,15.76644929,NA,0.746757584,0.835699935,19,17,6,1,8.333333333,Below Average Walkable
51003011202,510030112021,51,003,011202,1,4.033544922,NA,0.742026711,0.631126924,14,17,4,1,6.833333333,Below Average Walkable
51003011302,510030113022,51,003,011302,2,52.23227947,297.73,0.453178895,0.785567085,18,7,10,18,13.5,Above Average Walkable
51003010500,510030105003,51,003,010500,3,85.5874125,645.08,0.710906966,0.743738917,17,16,13,14,14.5,Above Average Walkable
51079030200,510790302004,51,079,030200,4,12.77005861,NA,0.806996227,0.542339628,11,19,5,1,7,Below Average Walkable
51003010300,510030103004,51,003,010300,4,51.10895436,NA,0.646451206,0.448927042,9,13,10,1,7.333333333,Below Average Walkable
51003010601,510030106012,51,003,010601,2,40.26787546,NA,0.714347746,0.7931472,18,16,8,1,8.666666667,Below Average Walkable
51003010903,510030109031,51,003,010903,1,432.1606613,261.52,0.200810267,0.793408918,19,2,20,18,16.16666667,Most Walkable
51065020300,510650203002,51,065,020300,2,1.642486993,NA,0.090990286,0.571368128,12,2,2,1,3.333333333,Least Walkable
51065020300,510650203001,51,065,020300,1,1.94509201,NA,0.240269769,0.375886146,7,3,2,1,2.666666667,Least Walkable
51065020200,510650202001,51,065,020200,1,2.364971616,NA,0.326168485,0.359573844,6,4,3,1,3,Least Walkable
51065020200,510650202004,51,065,020200,4,3.242546638,NA,0.7384517,0.676780444,16,17,3,1,6.833333333,Below Average Walkable
51065020200,510650202002,51,065,020200,2,1.003323306,NA,0.461021238,0.387538688,7,7,1,1,3,Least Walkable
51065020300,510650203003,51,065,020300,3,1.021752735,NA,0.626901179,0.302728615,5,13,1,1,3.666666667,Least Walkable
51065020102,510650201023,51,065,020102,3,37.06730351,NA,0.739027133,0.503349192,10,17,8,1,7.5,Below Average Walkable
51065020102,510650201022,51,065,020102,2,32.97667557,NA,0.726739007,0.23927990699999999,4,16,8,1,6.333333333,Below Average Walkable
