"blkgroup","avgc_workinRegion","avgc_within150","avgc_25_employees","avgc_all","county"
"510030112012",14.8480372491168,26.2073955364771,23.4854866515243,27.3566317812998,"51003"
"510030112013",13.1847685041999,28.8249586158943,26.5899244353225,31.5734708691696,"51003"
"510030112021",6.77206454158094,19.4364350449076,15.7789454076208,22.7304100862507,"51003"
"510030112022",10.0728087063433,26.2815133599042,21.7009260045399,28.9892099903953,"51003"
"510030113011",4.24863354583384,18.3513169618922,14.4591409861825,19.6247715854315,"51003"
"510030113012",6.42625053698068,17.3478683591958,16.5638628053009,19.8981369406346,"51003"
"510030113013",5.20553586626331,19.3181049525146,16.6848894826518,21.1180037491118,"51003"
"510030113014",5.8969503348665,17.9882628924218,17.3022426439617,20.4003530404662,"51003"
"510030113021",4.48591201383232,19.2314501863608,17.4348436140168,21.618024842186,"51003"
"510030113022",3.8719871779379,17.5547563976663,16.9187243926534,19.9177316610195,"51003"
"510030113031",2.96035036232604,18.9771871595167,16.6133891481739,24.098112311435,"51003"
"510030113032",2.49754162092928,23.2300161386035,21.9950821836161,25.8197819749362,"51003"
"510030114001",8.1653939373915,27.5143369632437,20.4691305761278,29.5675842861356,"51003"
"510030114002",6.98131989884875,22.6233448687274,21.782563067448,24.6772295293309,"51003"
"510030114003",9.55443716072375,25.352387473255,22.0829325013202,28.0424332037833,"51003"
"510030114004",13.7146817360812,31.297392111095,30.389288067192,36.8487943863047,"51003"
"510650201011",13.2565982483606,26.6134276951737,24.3896249101604,27.7665016219485,"51065"
"510650201012",14.2965944633262,30.9141711167502,27.4561198151238,31.2978366155587,"51065"
"510650201013",11.1729757756961,22.9857888814747,20.3248325979529,24.4552560079949,"51065"
"510650201021",9.88665447484372,25.932476939261,22.3623063443382,27.6313003748964,"51065"
"510650201022",9.68647164752454,25.3995623526489,20.1792616283118,26.9617829826923,"51065"
"510650201023",9.90497846705906,23.54078675677,19.1500525062828,25.5095044196871,"51065"
"510650202001",14.8087128651072,25.8780287315565,23.9762021746176,26.493792233511,"51065"
"510650202002",16.1935880639446,31.3287782961337,29.3199947843833,32.6533158617806,"51065"
"510650202003",12.2983676459484,26.349122747246,22.6848185684046,27.3179372310958,"51065"
"510650202004",9.94288973680796,34.0861157395116,28.7122468131854,35.0265460340845,"51065"
"510650203001",9.50112673156035,21.9271907284399,18.5077282289486,23.6673893069901,"51065"
"510650203002",9.3033090482356,19.303555199518,17.4036566747611,21.0147798812549,"51065"
"510650203003",7.85016865707682,18.1607643523675,14.8172970309578,18.5132978028204,"51065"
"510790301011",5.57835423662636,27.8511205551858,24.0906330372926,31.2520295814501,"51079"
"510790301012",5.28666080383622,22.3551065495101,20.7179491927789,24.7176166799762,"51079"
"510790301021",7.36386844370087,21.7406394723343,19.5799260910925,25.222486058623,"51079"
"510790301022",4.73787259263578,22.5849624369016,17.4453347958662,23.6630826373496,"51079"
"510790301023",5.01085827931083,22.4440051945264,19.7976805663233,24.7840693970254,"51079"
"510790301024",5.72188633997142,20.9341386040578,19.791510422287,23.7776352078251,"51079"
"510790302001",7.51792152253447,22.9824100538621,19.3761238194317,24.5016512632683,"51079"
"510790302002",6.14006744115048,19.4306164809617,15.5306334307323,21.7961844463871,"51079"
"510790302003",9.26456636767997,24.9345087276483,21.5560044776259,26.7649081664739,"51079"
"510790302004",6.06694616755073,26.3398341200454,22.0617026805781,28.9822352617091,"51079"
"511099501001",20.8443874347014,27.851753469394,26.119403729437,32.5818370566653,"51109"
"511099501002",16.2192728940415,29.6814078849529,28.7213555046002,34.7753673355976,"51109"
"511099501003",14.6835148442019,24.4157087271301,24.7892107656096,28.994876941504,"51109"
"511099501004",13.6810255145487,26.9282207610253,26.1834466723973,30.8542944292949,"51109"
"511099502011",17.0815860162792,24.4419866546405,22.6367631342639,25.9805387910391,"51109"
"511099502012",18.2351858734333,28.1261043310728,24.8761455848206,28.5318228150849,"51109"
"511099502013",19.329380203115,30.3067051214025,27.1307101789855,31.6290847948582,"51109"
"511099502021",16.6692445417055,26.1329559325894,24.5858059920924,27.4936807357811,"51109"
"511099502022",12.3676312075124,25.5410933108112,22.5871801675193,28.0128389640101,"51109"
"511099503001",25.4712678049908,33.5666530728558,31.3212414098032,34.7656220679794,"51109"
"511099503002",18.4097534625532,26.4581747538172,23.6532074143436,27.1218543022104,"51109"
"511099503003",16.6712047007933,26.4377496679811,23.395530395772,26.9052239706783,"51109"
"511099504001",18.3118201561279,28.9162201282312,27.2663274343039,29.2207071065648,"51109"
"511099504002",22.6399526445979,33.2659140058428,29.7974713486401,33.8490502253964,"51109"
"511099505001",15.3351934564008,22.7354683489615,25.8818777581138,27.7244729278382,"51109"
"511099505002",16.4463779638052,25.8344513910998,21.266532885163,28.5745986544028,"51109"
"511099505003",17.7777162758761,27.4573914401659,26.815457046247,30.0892468071719,"51109"
"511259501001",14.1598290641418,30.4581247109693,26.7551524185356,33.5290965122136,"51125"
"511259501002",15.1364938521328,29.3285297067545,27.4131496515156,32.3646538262684,"51125"
