"w_geocode","avgc_allworkers","medc_allworkers","workersinBlockall","liveoutsideRegion","liveinsideRegion","perc_workers_liveinRegion","perc_workers_liveoutsideRegion","avgc_livewithin40","medc_livewithin40","workerw40","avgc_25_res","medc_25_res","workers25"
"510790301012038",NA,NA,72,29,43,59.7222222222222,40.2777777777778,3.41150864105655,2.56350715726058,35,NA,NA,66
"510790301012041",NA,NA,3,1,2,66.6666666666667,33.3333333333333,0.399321546664167,0.399321546664167,2,0.399321546664167,0.399321546664167,2
"510790301012045",NA,NA,14,5,9,64.2857142857143,35.7142857142857,4.12324547377793,1.65632228827064,10,NA,NA,14
"510790301012046",NA,NA,4,3,1,25,75,1.16581360882124,1.16581360882124,1,NA,NA,3
"510790301012047",NA,NA,18,6,12,66.6666666666667,33.3333333333333,3.82714509380015,3.34625368368882,13,NA,NA,16
"510790301012048",NA,NA,25,8,17,68,32,2.7517173710022,2.14337451301205,12,NA,NA,24
"510790301012049",NA,NA,1,1,0,0,100,NA,NA,NA,NA,NA,1
"510790301012050",NA,NA,16,5,11,68.75,31.25,8.29561705788818,2.59695581507156,12,NA,NA,15
"510790301012051",NA,NA,7,3,4,57.1428571428571,42.8571428571429,1.81630061557394,1.47979290659516,4,NA,NA,7
"510790301012054",NA,NA,2,1,1,50,50,3.33252604767033,3.33252604767033,1,NA,NA,2
"510790301012057",30.4984631028194,4.5266017668513,3,1,2,66.6666666666667,33.3333333333333,3.21099017531249,3.21099017531249,2,3.21099017531249,3.21099017531249,2
"510790301012061",NA,NA,4,2,2,50,50,1.09244567999604,1.09244567999604,2,NA,NA,4
"510790301012064",NA,NA,46,37,9,19.5652173913043,80.4347826086957,5.63110555683036,3.06419629485488,10,NA,NA,44
"510790301012071",NA,NA,67,22,45,67.1641791044776,32.8358208955224,6.32435127491685,3.13290388308916,45,NA,NA,61
"510790301012078",NA,NA,17,3,14,82.3529411764706,17.6470588235294,5.84386744551077,4.53933498145204,14,NA,NA,17
"510790301012086",NA,NA,1,1,0,0,100,NA,NA,NA,NA,NA,1
"510790301012087",0.826095974269335,0.826095974269335,1,0,1,100,0,0.826095974269335,0.826095974269335,1,0.826095974269335,0.826095974269335,1
"510790301012095",NA,NA,33,6,27,81.8181818181818,18.1818181818182,3.21228264145285,2.28805631443756,26,NA,NA,32
"510790301012097",NA,NA,679,151,528,77.7614138438881,22.2385861561119,4.34487127797314,3.14285838378464,508,NA,NA,660
"510790301021001",NA,NA,22,10,12,54.5454545454545,45.4545454545455,10.4956950302416,11.3845891527352,12,NA,NA,19
"510790301021002",NA,NA,1,1,0,0,100,NA,NA,NA,NA,NA,1
"510790301021011",4.65621184496474,4.42915429384635,3,0,3,100,0,4.65621184496474,4.42915429384635,3,4.65621184496474,4.42915429384635,3
"510790301021018",31.1319367294798,31.1319367294798,2,1,1,50,50,5.79747527606619,5.79747527606619,1,5.79747527606619,5.79747527606619,1
"510790301021066",NA,NA,11,2,9,81.8181818181818,18.1818181818182,9.80752590435989,10.9383457308531,6,NA,NA,11
"510790301021080",13.7498261519058,13.7498261519058,2,0,2,100,0,13.7498261519058,13.7498261519058,2,13.7498261519058,13.7498261519058,2
"510790301021082",6.30757173629763,6.30757173629763,1,0,1,100,0,6.30757173629763,6.30757173629763,1,6.30757173629763,6.30757173629763,1
"510790301021089",NA,NA,7,1,6,85.7142857142857,14.2857142857143,6.20396390088887,6.62209930501214,6,NA,NA,7
"510790301021091",NA,NA,92,32,60,65.2173913043478,34.7826086956522,8.25603602733717,7.83439954293767,60,NA,NA,81
"510790301021114",5.99655969983647,7.39723854842635,5,0,5,100,0,5.99655969983647,7.39723854842635,5,5.99655969983647,7.39723854842635,5
"510790301022002",1.22899734970475,1.28155903715126,4,0,4,100,0,1.22899734970475,1.28155903715126,4,1.22899734970475,1.28155903715126,4
"510790301022003",0.737930328346709,0.737930328346709,1,0,1,100,0,0.737930328346709,0.737930328346709,1,0.737930328346709,0.737930328346709,1
"510790301022007",NA,NA,2,1,1,50,50,10.5448206949934,10.5448206949934,1,10.5448206949934,10.5448206949934,1
"510790301022011",NA,NA,4,1,3,75,25,2.85621578456831,1.14570228446438,3,2.85621578456831,1.14570228446438,3
"510790301022012",1.03731540420694,0.64244500023856,3,0,3,100,0,1.03731540420694,0.64244500023856,3,1.03731540420694,0.64244500023856,3
"510790301022016",NA,NA,4,0,4,100,0,2.88264278543085,1.111407711959,3,NA,NA,4
"510790301022020",NA,NA,4,2,2,50,50,12.1640276551587,8.85050914944615,3,NA,NA,4
"510790301022023",NA,NA,3,0,3,100,0,7.71452804595929,7.71452804595929,2,NA,NA,3
"510790301022024",NA,NA,2,0,2,100,0,2.27825328722015,2.27825328722015,1,NA,NA,2
"510790301023002",NA,NA,29,9,20,68.9655172413793,31.0344827586207,4.06633578127496,2.77385605601249,20,NA,NA,28
"510790301023004",NA,NA,2,1,1,50,50,0.478705048561404,0.478705048561404,1,NA,NA,2
"510790301023005",3.43249101070885,3.43249101070885,1,0,1,100,0,3.43249101070885,3.43249101070885,1,3.43249101070885,3.43249101070885,1
"510790301023015",NA,NA,50,24,26,52,48,7.61914489225405,5.06396518249913,25,NA,NA,45
"510790301023018",2.78969416479534,1.67882867893872,3,0,3,100,0,2.78969416479534,1.67882867893872,3,2.78969416479534,1.67882867893872,3
"510790301023021",NA,NA,1,1,0,0,100,NA,NA,NA,NA,NA,1
"510790301023025",9.25257446517588,9.25257446517588,1,0,1,100,0,9.25257446517588,9.25257446517588,1,9.25257446517588,9.25257446517588,1
"510790301023026",11.2561789277877,11.2561789277877,2,1,1,50,50,11.2561789277877,11.2561789277877,2,3.14210046430152,3.14210046430152,1
