"w_blkgroup","lowwage_jobs","midwage_jobs","higwage_jobs","alljobs","lowwage_p","midwage_p","higwage_p","White_workers","Black_workers","AI_Na_workers","Asian_workers","NaH_PI_workers","Multiracial_workers","lessThanHS_jobs","HSnoCollege_jobs","SomeColl_Associates_jobs","Bach_AdvDeg_jobs","w_county","countyName"
"510790301023",42,32,30,104,0.403846153846154,0.307692307692308,0.288461538461538,87,12,0,1,0,4,9,18,30,27,"51079","Greene"
"510790301024",22,25,21,68,0.323529411764706,0.367647058823529,0.308823529411765,65,1,0,1,0,1,10,22,11,7,"51079","Greene"
"510790302001",161,203,176,540,0.298148148148148,0.375925925925926,0.325925925925926,452,59,0,11,1,17,65,113,113,105,"51079","Greene"
"510790302002",27,77,72,176,0.153409090909091,0.4375,0.409090909090909,152,21,1,1,0,1,13,52,46,34,"51079","Greene"
"510790302003",187,311,169,667,0.280359820089955,0.466266866566717,0.253373313343328,510,114,3,21,0,19,53,163,119,107,"51079","Greene"
"510790302004",172,228,130,530,0.324528301886792,0.430188679245283,0.245283018867925,445,55,2,17,0,11,60,121,122,98,"51079","Greene"
"511099501001",52,83,87,222,0.234234234234234,0.373873873873874,0.391891891891892,186,23,0,6,0,7,30,61,49,39,"51109","Louisa"
"511099501002",152,195,1554,1901,0.0799579168858496,0.102577590741715,0.817464492372436,1541,306,10,21,1,22,149,469,510,497,"51109","Louisa"
"511099501003",28,23,6,57,0.491228070175439,0.403508771929825,0.105263157894737,44,12,0,1,0,0,6,14,16,8,"51109","Louisa"
"511099501004",16,43,14,73,0.219178082191781,0.589041095890411,0.191780821917808,46,18,6,0,1,2,10,21,17,10,"51109","Louisa"
"511099502011",161,224,125,510,0.315686274509804,0.43921568627451,0.245098039215686,430,67,2,5,1,5,51,141,113,84,"51109","Louisa"
"511099502012",46,55,44,145,0.317241379310345,0.379310344827586,0.303448275862069,115,28,0,0,0,2,15,35,31,26,"51109","Louisa"
"511099502013",369,647,517,1533,0.240704500978474,0.42204827136334,0.337247227658187,1146,345,7,15,0,20,163,411,357,258,"51109","Louisa"
"511099502021",160,158,55,373,0.428954423592493,0.423592493297587,0.14745308310992,321,31,1,14,0,6,26,98,69,53,"51109","Louisa"
"511099502022",224,265,445,934,0.23982869379015,0.28372591006424,0.47644539614561,759,158,1,9,0,7,56,244,222,267,"51109","Louisa"
"511099503001",39,122,443,604,0.0645695364238411,0.201986754966887,0.733443708609272,475,108,0,15,1,5,51,204,159,93,"51109","Louisa"
"511099503002",138,216,208,562,0.245551601423488,0.384341637010676,0.370106761565836,431,109,1,6,0,15,74,135,139,84,"51109","Louisa"
"511099503003",606,1328,490,2424,0.25,0.547854785478548,0.202145214521452,1574,686,9,108,2,45,279,603,479,285,"51109","Louisa"
"511099504001",21,46,69,136,0.154411764705882,0.338235294117647,0.507352941176471,106,23,2,3,0,2,14,37,39,19,"51109","Louisa"
"511099504002",18,40,25,83,0.216867469879518,0.481927710843373,0.301204819277108,50,28,0,4,0,1,8,17,21,12,"51109","Louisa"
"511099505001",25,27,18,70,0.357142857142857,0.385714285714286,0.257142857142857,61,8,0,0,0,1,11,22,18,6,"51109","Louisa"
"511099505002",58,102,53,213,0.272300469483568,0.47887323943662,0.248826291079812,146,59,0,4,0,4,28,58,42,35,"51109","Louisa"
"511099505003",68,74,55,197,0.345177664974619,0.375634517766497,0.279187817258883,156,35,0,4,0,2,20,40,45,36,"51109","Louisa"
"511259501001",33,37,15,85,0.388235294117647,0.435294117647059,0.176470588235294,76,8,1,0,0,0,8,26,26,10,"51125","Nelson"
"511259501002",206,318,329,853,0.241500586166471,0.372801875732708,0.385697538100821,758,82,0,6,0,7,72,234,211,224,"51125","Nelson"
"511259501003",53,82,52,187,0.283422459893048,0.438502673796791,0.27807486631016,155,23,2,4,0,3,13,41,51,41,"51125","Nelson"
"511259501004",27,34,9,70,0.385714285714286,0.485714285714286,0.128571428571429,55,10,0,1,0,4,10,20,16,11,"51125","Nelson"
"511259502001",20,38,47,105,0.19047619047619,0.361904761904762,0.447619047619048,101,4,0,0,0,0,11,26,26,17,"51125","Nelson"
"511259502002",206,199,83,488,0.422131147540984,0.407786885245902,0.170081967213115,421,40,3,22,0,2,49,104,107,78,"51125","Nelson"
"511259502003",108,167,84,359,0.3008356545961,0.465181058495822,0.233983286908078,322,21,2,8,0,6,41,87,68,57,"51125","Nelson"
"511259502004",114,182,92,388,0.293814432989691,0.469072164948454,0.237113402061856,366,9,4,5,0,4,49,75,87,69,"51125","Nelson"
"511259503001",187,170,66,423,0.442080378250591,0.401891252955083,0.156028368794326,356,55,1,4,0,7,35,118,84,62,"51125","Nelson"
"511259503002",45,71,44,160,0.28125,0.44375,0.275,138,20,1,1,0,0,19,34,48,12,"51125","Nelson"
"511259503003",49,86,37,172,0.284883720930233,0.5,0.215116279069767,147,18,2,1,1,3,36,37,49,27,"51125","Nelson"
"511259503004",95,207,168,470,0.202127659574468,0.440425531914894,0.357446808510638,384,74,4,2,0,6,70,103,117,94,"51125","Nelson"
"515400002011",81,219,260,560,0.144642857142857,0.391071428571429,0.464285714285714,481,49,3,15,1,11,47,117,131,148,"51540","Charlottesville"
"515400002012",173,238,268,679,0.254786450662739,0.350515463917526,0.394698085419735,566,72,2,27,2,10,65,145,159,137,"51540","Charlottesville"
"515400002013",5,3,2,10,0.5,0.3,0.2,3,6,0,0,0,1,0,3,5,0,"51540","Charlottesville"
"515400002021",337,275,202,814,0.414004914004914,0.337837837837838,0.248157248157248,532,236,3,27,0,16,100,192,223,148,"51540","Charlottesville"
"515400002022",311,164,71,546,0.56959706959707,0.3003663003663,0.13003663003663,403,94,3,32,0,14,44,72,72,57,"51540","Charlottesville"
"515400002023",437,217,96,750,0.582666666666667,0.289333333333333,0.128,599,99,0,35,1,16,45,78,118,84,"51540","Charlottesville"
"515400003021",619,654,1176,2449,0.252756227031441,0.267047774601878,0.48019599836668,2049,287,6,67,1,39,235,472,498,650,"51540","Charlottesville"
"515400003022",56,98,100,254,0.220472440944882,0.385826771653543,0.393700787401575,223,22,0,4,0,5,26,67,67,42,"51540","Charlottesville"
"515400004011",81,151,212,444,0.182432432432432,0.34009009009009,0.477477477477477,357,56,0,15,0,16,39,95,89,120,"51540","Charlottesville"
"515400004012",82,67,26,175,0.468571428571429,0.382857142857143,0.148571428571429,102,61,0,4,0,8,15,42,29,27,"51540","Charlottesville"
