STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,tree_can
51,540,000402,4,515400004024,Block Group 4,30.38245614035088
51,540,000201,3,515400002013,Block Group 3,39.10245901639344
51,540,000201,1,515400002011,Block Group 1,43.24603174603175
51,540,001000,1,515400010001,Block Group 1,4.035398230088496
51,065,020102,1,510650201021,Block Group 1,67.9857892435505
51,065,020101,1,510650201011,Block Group 1,59.88911958361182
51,065,020101,3,510650201013,Block Group 3,71.3120219516378
51,065,020101,2,510650201012,Block Group 2,57.17316989607522
51,065,020200,3,510650202003,Block Group 3,63.45386746684481
51,079,030102,2,510790301022,Block Group 2,40.06158152554234
51,003,010700,1,510030107001,Block Group 1,28.016666666666666
51,109,950400,2,511099504002,Block Group 2,62.31256804269065
51,003,011201,2,510030112012,Block Group 2,62.118646932872544
51,003,011400,2,510030114002,Block Group 2,55.231149392826886
51,003,010100,3,510030101003,Block Group 3,54.737029150451576
51,003,011100,5,510030111005,Block Group 5,68.35159381561367
51,003,011301,2,510030113012,Block Group 2,69.58152033607924
51,003,010201,1,510030102011,Block Group 1,62.04357699207485
51,003,010800,5,510030108005,Block Group 5,57.7915240852856
51,003,010100,2,510030101002,Block Group 2,80.49910949464315
51,003,010202,1,510030102021,Block Group 1,51.78224662266362
51,125,950100,3,511259501003,Block Group 3,68.2170453234921
51,125,950100,1,511259501001,Block Group 1,77.26369416404569
51,125,950200,3,511259502003,Block Group 3,78.34311814653492
51,125,950300,4,511259503004,Block Group 4,56.091994519475435
51,125,950100,4,511259501004,Block Group 4,72.92212670508816
51,125,950200,4,511259502004,Block Group 4,66.77869017519522
51,125,950300,3,511259503003,Block Group 3,83.65782292090455
51,125,950300,2,511259503002,Block Group 2,70.1116780225004
51,125,950100,2,511259501002,Block Group 2,81.3229886690023
51,125,950200,2,511259502002,Block Group 2,80.50715430793369
51,109,950201,1,511099502011,Block Group 1,54.66325786179622
51,109,950202,2,511099502022,Block Group 2,60.64635885447107
51,109,950300,1,511099503001,Block Group 1,66.32425230928234
51,125,950200,1,511259502001,Block Group 1,84.67917259211377
51,540,000900,1,515400009001,Block Group 1,34.0622754491018
51,540,000201,2,515400002012,Block Group 2,15.508474576271187
51,540,000700,4,515400007004,Block Group 4,45.08701657458563
51,540,000700,3,515400007003,Block Group 3,25.89699074074074
51,540,000202,3,515400002023,Block Group 3,18.833333333333332
51,540,000900,2,515400009002,Block Group 2,50.69763513513514
51,540,000501,1,515400005011,Block Group 1,30.010830324909747
51,540,000302,1,515400003021,Block Group 1,23.861328125
51,540,000800,1,515400008001,Block Group 1,58.12895662368113
51,540,000800,2,515400008002,Block Group 2,53.718548387096774
51,540,000800,3,515400008003,Block Group 3,71.69076305220884
51,079,030200,2,510790302002,Block Group 2,52.30213434911421
51,540,000302,2,515400003022,Block Group 2,27.591346153846153
51,540,000401,2,515400004012,Block Group 2,45.8193359375
51,540,000402,1,515400004021,Block Group 1,15.485549132947977
51,540,000402,2,515400004022,Block Group 2,21.5
51,540,000402,3,515400004023,Block Group 3,21.793628808864266
51,540,000501,2,515400005012,Block Group 2,31.569565217391304
51,540,000501,3,515400005013,Block Group 3,45.825484764542935
51,540,000502,1,515400005021,Block Group 1,56.357300884955755
51,540,000202,1,515400002021,Block Group 1,8.282907662082515
51,540,000600,2,515400006002,Block Group 2,38.540485829959515
51,540,000700,1,515400007001,Block Group 1,65.4972972972973
51,540,000700,2,515400007002,Block Group 2,62.894568690095845
51,540,000401,1,515400004011,Block Group 1,18.666666666666668
51,079,030102,4,510790301024,Block Group 4,49.88686665273477
51,079,030200,3,510790302003,Block Group 3,45.53055555555556
51,079,030101,1,510790301011,Block Group 1,79.39690785405071
51,079,030102,1,510790301021,Block Group 1,81.04070813297817
51,079,030101,2,510790301012,Block Group 2,35.829690365735246
51,079,030102,3,510790301023,Block Group 3,51.322837669194584
51,079,030200,1,510790302001,Block Group 1,50.982397317686505
51,003,011302,1,510030113021,Block Group 1,54.05692599620493
51,003,010300,2,510030103002,Block Group 2,62.45559557818905
51,003,010202,2,510030102022,Block Group 2,58.016649048625794
51,003,010601,3,510030106013,Block Group 3,31.805979255643685
51,003,010500,1,510030105001,Block Group 1,69.90842887014205
51,003,010402,1,510030104021,Block Group 1,66.3244331496089
51,003,011303,2,510030113032,Block Group 2,39.721710882512184
51,003,010902,1,510030109021,Block Group 1,74.3106441297396
51,003,010902,2,510030109022,Block Group 2,36.62011173184357
51,125,950300,1,511259503001,Block Group 1,77.1211431511865
51,003,011400,1,510030114001,Block Group 1,60.15405482404528
51,003,011400,4,510030114004,Block Group 4,82.41505809083294
51,003,010401,2,510030104012,Block Group 2,56.83033808037914
51,003,010100,1,510030101001,Block Group 1,59.882941667660745
51,003,010903,2,510030109032,Block Group 2,18.10375939849624
51,003,011303,1,510030113031,Block Group 1,59.35538954108858
51,003,011100,2,510030111002,Block Group 2,51.90651352137249
51,003,010901,1,510030109011,Block Group 1,36.458260869565216
51,003,010901,2,510030109012,Block Group 2,28.01675977653631
51,003,010300,1,510030103001,Block Group 1,39.32592862345229
51,003,011000,2,510030110002,Block Group 2,67.35617183251767
51,003,011202,1,510030112021,Block Group 1,76.01624662539
51,003,011302,2,510030113022,Block Group 2,67.89106628242075
51,003,010500,3,510030105003,Block Group 3,43.681370005189414
51,079,030200,4,510790302004,Block Group 4,39.966012138521954
51,003,010300,4,510030103004,Block Group 4,56.69620253164557
51,003,010601,2,510030106012,Block Group 2,51.6770462633452
51,003,010903,1,510030109031,Block Group 1,17.42654028436019
51,065,020300,2,510650203002,Block Group 2,65.81642854962298
51,065,020300,1,510650203001,Block Group 1,65.24234220359729
51,065,020200,1,510650202001,Block Group 1,59.169185302279224
51,065,020200,4,510650202004,Block Group 4,57.99353936829379
51,065,020200,2,510650202002,Block Group 2,63.78750507987121
51,065,020300,3,510650203003,Block Group 3,67.31454301324197
51,065,020102,3,510650201023,Block Group 3,61.273150962512666
51,065,020102,2,510650201022,Block Group 2,61.66877804169966
