"blkgroup","medc_allworkersblkgr","medc_livewithin40blkgr","medc_25_resblkgr","workersInblkgr","liveoutsideRegionblkgr","liveinsideRegionblkgr","perc_workers_liveinRegionblkgr","perc_workers_liveoutsideRegionblkgr","workersw40blkgr","workers25blkgr","avgc_allworkersblkgr","avgc_livewithin40blkgr","avgc_25_resblkgr","county"
"510030112021",NA,9.13374264097068,NA,714,303,411,57.563025210084,42.436974789916,336,582,0.125644743078507,9.35669768180577,0.0400246094980055,"51003"
"510030112022",NA,12.7781427459908,NA,174,61,113,64.9425287356322,35.0574712643678,98,162,1.11126059693605,12.7836114287787,1.19357619670909,"51003"
"510030113011",NA,7.01084295122491,NA,76,32,44,57.8947368421053,42.1052631578947,37,57,0.718036178483235,8.00845371811164,0.95738157131098,"51003"
"510030113012",NA,8.39317593624516,NA,488,122,366,75,25,303,444,0.146130657220311,7.73287209998658,0.165348335188891,"51003"
"510030113013",NA,7.64245656833481,NA,135,32,103,76.2962962962963,23.7037037037037,87,127,2.33753976601971,7.85860054967005,1.81494858320629,"51003"
"510030113014",NA,9.33521701091109,NA,459,149,310,67.5381263616558,32.4618736383442,263,406,0.388393442079358,9.30025588509112,0.287396626612099,"51003"
"510030113021",NA,8.97823535295182,NA,409,99,310,75.7946210268949,24.2053789731051,257,377,0.00914223292117642,9.01042876161084,0.009918231471515,"51003"
"510030113022",NA,9.04163185436075,NA,1064,196,868,81.5789473684211,18.4210526315789,713,1038,0.000265415409053731,8.86695863691082,0.000272063579222707,"51003"
"510030113031",NA,9.27059199007668,NA,1298,490,808,62.2496147919877,37.7503852080123,675,1141,0.138503865270907,9.31248695512931,0.0776090821076833,"51003"
"510030113032",NA,8.55696639880676,NA,1339,495,844,63.0321135175504,36.9678864824496,696,1192,0,9.44593734704718,0.00995347843895755,"51003"
"510030114001",NA,8.79863773274141,NA,177,71,106,59.8870056497175,40.1129943502825,114,158,0.612719159528749,9.9440034564742,1.29668261210722,"51003"
"510030114002",NA,8.28001815517476,NA,208,72,136,65.3846153846154,34.6153846153846,157,189,0.495327788177089,8.23179677892581,1.00729258170725,"51003"
"510030114003",NA,10.5265977593016,NA,92,21,71,77.1739130434783,22.8260869565217,72,89,3.76831636911677,10.3050557197204,3.89533826919936,"51003"
"510030114004",NA,13.1112628258675,NA,33,7,26,78.7878787878788,21.2121212121212,26,32,5.06884276817544,10.192438543675,5.22724410468092,"51003"
"510650201011",NA,8.03204744872143,NA,2106,701,1405,66.7141500474834,33.2858499525166,1348,1872,0.107958666559982,9.0357617956213,0.0809063883023949,"51065"
"510650201012",NA,10.0120818147709,NA,157,51,106,67.515923566879,32.484076433121,90,144,0.39249229217718,10.880775428058,0.452978410182053,"51065"
"510650201013",NA,6.97298891579441,NA,82,29,53,64.6341463414634,35.3658536585366,50,73,1.05459247256647,8.09549889040491,0.475771721267207,"51065"
"510650201021",NA,5.30851135911442,NA,353,75,278,78.7535410764873,21.2464589235127,266,327,1.40979093338432,5.53505374547832,1.02136780529126,"51065"
"510650201022",NA,6.03806989007635,NA,131,19,112,85.4961832061069,14.5038167938931,111,123,0.655206847823059,5.62468552015965,1.31737295715611,"51065"
"510650201023",NA,6.51080644539703,NA,341,121,220,64.5161290322581,35.4838709677419,214,300,0.449356299181939,6.77433125488814,0.394739478137449,"51065"
"510650202001",NA,10.9137067326148,NA,173,63,110,63.5838150289017,36.4161849710983,109,153,1.47767513184434,11.2846423312859,1.67083527979784,"51065"
"510650202002",NA,12.7566156637011,NA,70,37,33,47.1428571428571,52.8571428571429,44,60,2.42755803692529,12.2109412399965,3.66441949919129,"51065"
"510650202003",NA,9.94353137471995,NA,253,98,155,61.2648221343874,38.7351778656126,183,227,0.548642563474273,9.08132087888494,0.785858575506639,"51065"
"510650202004",NA,8.38771955910983,NA,215,99,116,53.953488372093,46.046511627907,155,188,0.742489033897593,8.30705469044923,2.04720904468195,"51065"
"510650203001",NA,6.29043730657575,NA,243,78,165,67.9012345679012,32.0987654320988,175,228,0.469028364070094,6.30837374129937,0.628557962325432,"51065"
"510650203002",NA,6.55265193399886,NA,101,22,79,78.2178217821782,21.7821782178218,86,101,3.40192970916442,7.72813463958569,3.40192970916442,"51065"
"510650203003",NA,7.06489675608027,NA,27,7,20,74.0740740740741,25.9259259259259,22,26,2.30467649573293,7.1994137801558,2.39331789941496,"51065"
"510790301011",NA,5.6101465823505,NA,101,33,68,67.3267326732673,32.6732673267327,73,100,0.066553434041855,6.91504946999295,0.0672189683822735,"51079"
"510790301012",NA,4.34487127797314,NA,1092,315,777,71.1538461538462,28.8461538461538,746,1048,0.0871852713236845,4.31066264178961,0.0104308687222886,"51079"
"510790301021",NA,8.25603602733717,NA,146,47,99,67.8082191780822,32.1917808219178,96,131,0.95905843515853,8.3430788977591,0.637833079009557,"51079"
"510790301022",NA,2.85621578456831,NA,27,4,23,85.1851851851852,14.8148148148148,21,25,0.324661701473575,4.32031688997106,1.11517335953939,"51079"
"510790301023",NA,7.51766453869332,NA,100,41,59,59,41,60,91,0.435665058258461,6.57058367263839,0.265892839940355,"51079"
"510790301024",NA,4.34600317427862,NA,63,11,52,82.5396825396825,17.4603174603175,50,62,1.31947135335947,5.28415597893477,1.41638092459819,"51079"
"510790302001",NA,6.09016364402222,NA,514,234,280,54.4747081712062,45.5252918287938,264,452,0.630490065400828,6.42706887363002,0.284162829441464,"51079"
"510790302002",NA,6.71401903471509,NA,167,79,88,52.6946107784431,47.3053892215569,88,137,0.548423781570092,6.84312052923742,0.714957081233887,"51079"
"510790302003",NA,9.30175167727789,NA,634,393,241,38.01261829653,61.98738170347,253,500,0.0823685598696932,8.7937206493121,0.112511822599955,"51079"
"510790302004",NA,7.83110315645301,NA,512,279,233,45.5078125,54.4921875,232,428,0,7.20825093188935,0.0213483924457978,"51079"
"511099501001",NA,20.3614905121068,NA,215,114,101,46.9767441860465,53.0232558139535,16,155,0.100125865829179,18.1672711183898,0.679762469026532,"51109"
"511099501002",NA,21.1188458830718,NA,1785,1387,398,22.296918767507,77.703081232493,320,1142,0,21.2325083083014,0,"51109"
"511099501003",NA,18.5911560980303,NA,55,30,25,45.4545454545455,54.5454545454545,9,45,2.62009443159491,17.8381811917408,3.202337638616,"51109"
"511099501004",NA,25.9098890280341,NA,68,28,40,58.8235294117647,41.1764705882353,10,60,0,24.7555631324287,0,"51109"
"511099502011",NA,23.1637361215426,NA,504,237,267,52.9761904761905,47.0238095238095,74,412,0,23.3801253327427,0,"51109"
"511099502012",NA,21.4148660601609,NA,138,64,74,53.6231884057971,46.3768115942029,17,118,0,19.0453082055497,0,"51109"
"511099502013",NA,23.1885740110828,NA,1492,596,896,60.0536193029491,39.9463806970509,254,1298,0,23.009146873538,0,"51109"
"511099502021",NA,28.8794479365443,NA,366,141,225,61.4754098360656,38.5245901639344,28,335,0.124464428298487,27.9496322098771,0.135982032111182,"51109"
"511099502022",NA,25.4862913774767,NA,912,190,722,79.1666666666667,20.8333333333333,149,881,0,25.4605792489642,0,"51109"
"511099503001",NA,23.7586446953891,NA,587,229,358,60.9880749574106,39.0119250425894,178,544,0.178504341763748,23.3716729337383,0.242018364177059,"51109"
"511099503002",NA,17.0668531037851,NA,548,295,253,46.1678832116788,53.8321167883212,124,421,0.214114942568134,16.7653390050469,0.278705435931917,"51109"
"511099503003",NA,16.7255919316323,NA,2339,1690,649,27.7469003847798,72.2530996152202,492,1591,0.102952302709051,15.353974686397,0.166275429834206,"51109"
"511099504001",NA,16.2304677282569,NA,136,51,85,62.5,37.5,29,122,0,16.7098105314541,0,"51109"
"511099504002",NA,16.7170999435285,NA,78,31,47,60.2564102564103,39.7435897435897,16,68,0.871005541434855,20.4170559553829,1.62041532753103,"51109"
"511099505001",NA,13.022114435984,NA,69,21,48,69.5652173913043,30.4347826086957,11,60,0.613569739107437,14.9962900196476,0.705605199973552,"51109"
"511099505002",NA,19.1912144760464,NA,209,95,114,54.5454545454545,45.4545454545455,39,173,0.0624691797416477,17.3214680711308,0.373625259828588,"51109"
"511099505003",NA,10.9746479570465,NA,190,97,93,48.9473684210526,51.0526315789474,46,159,0.300549816755398,13.1676466470688,0.359147579770601,"51109"
"511259501001",NA,17.072921249817,NA,82,22,60,73.1707317073171,26.8292682926829,21,77,0.178926173433448,17.2261927664985,0.190544756123932,"51125"
"511259501002",NA,20.3992743958136,NA,838,268,570,68.019093078759,31.980906921241,240,803,0,20.5473275434407,0,"51125"
"511259501003",NA,20.8246641261356,NA,183,61,122,66.6666666666667,33.3333333333333,48,168,0,21.2616130720805,0,"51125"
"511259501004",NA,23.3668379414231,NA,67,21,46,68.6567164179104,31.3432835820896,12,60,0.0825464214746907,22.3849649895286,0.0921768373134047,"51125"
"511259502001",NA,11.60403446619,NA,104,48,56,53.8461538461538,46.1538461538462,33,103,0.282123652989224,13.1010368821,0.284862717581353,"51125"
"511259502002",NA,16.932935061191,NA,477,189,288,60.377358490566,39.622641509434,156,458,0.0668909423631651,17.0235392517537,0.069665894120589,"51125"
"511259502003",NA,16.5228463664807,NA,353,143,210,59.4900849858357,40.5099150141643,116,336,0.0271045434035652,17.1630891870046,0.0284759042305313,"51125"
"511259502004",NA,16.8241060369461,NA,377,135,242,64.1909814323607,35.8090185676393,139,362,0.0905660365471918,16.5527461213052,0.094318772868208,"51125"
"511259503001",NA,17.7466811913662,NA,415,206,209,50.3614457831325,49.6385542168675,110,367,0.309853741317319,18.0897199294813,0.230273613228786,"51125"
"511259503002",NA,16.1344173315772,NA,158,58,100,63.2911392405063,36.7088607594937,39,146,0,15.493767462317,0,"51125"
"511259503003",NA,13.2646026555243,NA,171,62,109,63.7426900584795,36.2573099415205,54,165,0.413762112236582,13.0506675328851,0.428808007227003,"51125"
"511259503004",NA,16.9626241844449,NA,466,230,236,50.6437768240343,49.3562231759657,183,437,0.0182698385138001,15.5689266796635,0.0194822534266152,"51125"
"515400002011",NA,8.31006344308093,NA,538,170,368,68.4014869888476,31.5985130111524,244,473,0.0328003897466644,7.96985988679392,0.0373078428830982,"51540"
"515400002012",NA,7.03677306053447,NA,663,150,513,77.3755656108597,22.6244343891403,325,601,0,7.38252771993858,0,"51540"
"515400002013",NA,5.41918969867552,NA,9,2,7,77.7777777777778,22.2222222222222,4,8,1.29112835059604,6.96943106284772,1.45251939442054,"51540"
"515400002021",NA,7.64265390393423,NA,792,204,588,74.2424242424242,25.7575757575758,350,707,0,8.07622995499282,0,"51540"
"515400002022",NA,7.80616108814576,NA,508,202,306,60.2362204724409,39.7637795275591,160,384,0,8.00966849521749,0.0405108295776957,"51540"
"515400002023",NA,7.76675608542092,NA,694,251,443,63.8328530259366,36.1671469740634,272,543,0.0263054206565951,7.54538166256858,0.0336205560509706,"51540"
"515400003021",NA,7.80332428289913,NA,2368,838,1530,64.6114864864865,35.3885135135135,1004,2071,0.0825469477610575,8.55238513199184,0.024956135521084,"51540"
"515400003022",NA,10.6347437190455,NA,246,84,162,65.8536585365854,34.1463414634146,116,222,0,10.2901664328747,0,"51540"
"515400004011",NA,7.78912890845424,NA,430,169,261,60.6976744186046,39.3023255813954,179,370,0,8.76931142455727,0,"51540"
"515400004012",NA,11.5707646593311,NA,164,77,87,53.0487804878049,46.9512195121951,63,126,0.161438626068663,9.94001658829998,0.210126465676672,"51540"
"515400004021",NA,9.15558550619589,NA,395,105,290,73.4177215189873,26.5822784810127,194,369,0,8.75221178024598,0,"51540"
"515400004022",NA,9.1727690205586,NA,424,174,250,58.9622641509434,41.0377358490566,174,353,0.26791315385944,8.82531903072924,0.0725108374439253,"51540"
"515400004023",NA,8.07117447892308,NA,1115,330,785,70.4035874439462,29.5964125560538,555,1068,0,8.18888042991003,0,"51540"
"515400004024",NA,8.54692220298885,NA,48,10,38,79.1666666666667,20.8333333333333,29,46,2.43914305944758,8.39050610362733,1.11070227602761,"51540"
"515400005011",NA,4.50679184211898,NA,96,24,72,75,25,48,83,0.963870500736261,6.95448107900339,0.206482662397069,"51540"
"515400005012",NA,6.98047971398103,NA,143,52,91,63.6363636363636,36.3636363636364,68,135,0,7.33749907901149,0,"51540"
"515400005013",NA,2.42778846224122,NA,11,2,9,81.8181818181818,18.1818181818182,4,11,0,2.45568970162247,0,"51540"
"515400005021",NA,11.6937878614027,NA,54,33,21,38.8888888888889,61.1111111111111,17,46,0.017949638177686,12.5398127132352,0.021071314382501,"51540"
"515400005022",NA,4.38370972045293,NA,41,8,33,80.4878048780488,19.5121951219512,17,41,0,5.90725055151851,0,"51540"
"515400005023",NA,8.18280160679651,NA,120,36,84,70,30,48,108,0,8.12347228317022,0,"51540"
"515400005024",NA,8.53566899565261,NA,18,5,13,72.2222222222222,27.7777777777778,8,17,0,8.03893157274259,0,"51540"
"515400005025",NA,11.2949974016148,NA,245,117,128,52.2448979591837,47.7551020408163,97,214,0.00506448888534168,11.4229729714239,0.00579812979863883,"51540"
"515400006001",NA,9.20208831762809,NA,8661,2321,6340,73.2017088096063,26.7982911903937,4946,8330,0,9.0439813490399,0,"51540"
"515400006002",NA,8.46010582334053,NA,204,70,134,65.6862745098039,34.3137254901961,102,182,0.21208233194913,10.0803150566691,0.237718657789135,"51540"
"515400007001",NA,6.61969353041995,NA,912,140,772,84.6491228070175,15.3508771929825,479,859,0.00361230305949756,6.54537525101979,0.00569161817368146,"51540"
"515400007002",NA,7.96770314921937,NA,488,209,279,57.172131147541,42.827868852459,214,391,0.445638661192684,8.31165341470542,0.106894525776908,"51540"
"515400007003",NA,8.41379521301443,NA,1671,793,878,52.5433871932974,47.4566128067026,634,1256,0,8.33822389178518,0,"51540"
"515400007004",NA,7.26045254327163,NA,668,232,436,65.2694610778443,34.7305389221557,315,562,0,7.64240845161927,0,"51540"
"515400008001",NA,11.4839014386029,NA,21,8,13,61.9047619047619,38.0952380952381,9,20,0.872738217996764,10.2685643701953,0.916375128896602,"51540"
"515400008002",NA,4.67174958025222,NA,9,2,7,77.7777777777778,22.2222222222222,4,9,1.03816657338938,4.57219837563436,1.03816657338938,"51540"
"515400008003",NA,4.93654648705367,NA,16,7,9,56.25,43.75,6,14,0.720495137920696,6.75392376135425,0.82342301476651,"51540"
"515400008004",NA,8.55520867550998,NA,2727,1228,1499,54.968830216355,45.031169783645,1182,2214,0.00119961140772863,8.65805905541797,0.0014775701485438,"51540"
"515400009001",NA,8.31095153740148,NA,408,163,245,60.0490196078431,39.9509803921569,189,345,0.0163319515741365,8.13230728509194,0.0193143079485441,"51540"
"515400009002",NA,7.60388257413988,NA,540,210,330,61.1111111111111,38.8888888888889,210,443,0.0194601901667968,7.56605169375414,0.0237212250340186,"51540"
"515400010001",NA,7.91851098636626,NA,9821,3175,6646,67.6713165665411,32.3286834334589,4474,8183,0.00194755074540466,7.86295011771941,0.00302235438111669,"51540"
"515400010002",NA,7.77887765473481,NA,3500,808,2692,76.9142857142857,23.0857142857143,2079,3226,0,7.9853993527396,0.00360057047000989,"51540"
"515400010003",NA,8.2782456655472,NA,726,220,506,69.6969696969697,30.3030303030303,345,617,0.027698742881185,8.15972804487395,0.0325920378148141,"51540"
