,GEOID,mean,median,min,max,spatial_region
5667,511099501001001,86.49881805915385,85.94996287872554,84.30904738459878,98.73345551433681,blocks
5668,511099501001002,90.41957823200002,89.82005752400002,89.24138673800005,92.86038631400002,blocks
5669,511099501001003,85.66242801580493,85.65679396687366,85.05876627426167,86.18010571276277,blocks
5670,511099501001004,90.38195266784004,89.99950904283203,87.46408196398403,95.46971371966399,blocks
5671,511099501001005,89.63873839904004,89.64341425040004,89.18936447360004,90.053166488,blocks
5672,511099501001006,95.3445382447117,95.1992577160982,90.19455928098162,100.33189914034362,blocks
5673,511099501001007,86.36375781532958,86.2623774735885,84.88254377660655,89.09862825862818,blocks
5674,511099501001008,88.07271990834454,87.24308304811488,84.5893813826029,96.54971696660293,blocks
5675,511099501001009,95.55344427200005,95.60372023890912,91.35711004509093,99.62828342436366,blocks
5676,511099501001010,93.81861454892005,93.91708770512005,87.91465493084007,100.32078235532003,blocks
5677,511099501001011,91.08307845190541,89.96115166441645,88.44879749902843,99.43733931976028,blocks
5678,511099501001012,94.4655465478491,94.29231097569817,91.68425853018876,98.12109959056605,blocks
5679,511099501001013,88.68886380500004,88.68886380500004,88.51275032450003,88.86497728550003,blocks
5680,511099501001014,91.40208808100003,91.46643230750003,90.69045631700004,91.93478649800004,blocks
5681,511099501001015,94.46338243259885,94.93077108361679,88.1959781574851,99.13982324754497,blocks
5682,511099501001016,92.06229259510206,91.1590563956735,87.7817457114286,97.00985561844902,blocks
5683,511099501001017,91.02954307525857,90.87020998880006,87.62541524240001,94.64042276960002,blocks
5684,511099501001018,91.09540426295041,90.46525876759709,86.78084148006882,96.99288754774454,blocks
5685,511099501001019,89.89742444869044,88.91278904474699,87.09488781397549,98.73242458140547,blocks
5686,511099501001020,91.22304205202202,91.22459706331874,88.50789091419783,94.67026546465935,blocks
5687,511099501001021,90.27189294804819,89.66348935008656,87.64797545444314,97.30787873681324,blocks
5688,511099501001022,92.62323269300003,92.34791118200003,89.95153736000003,95.49624940400003,blocks
5689,511099501001023,93.04682761470362,93.18531754622805,89.04651172345282,96.24125455198704,blocks
5690,511099501001024,90.2831345687568,90.10321738627032,89.83816379210812,90.98767163178381,blocks
5691,511099501001025,91.16574604465757,90.9410662457329,88.37991459586307,94.7334425451233,blocks
5692,511099501001026,90.07382356344625,89.22315053145428,87.65874307709153,98.33362443255864,blocks
5693,511099501001027,92.654494774427,92.58340763937086,88.61478686256181,97.4134385846742,blocks
5694,511099501001028,90.37030277642108,89.87493373515792,86.71971749747372,96.66845836357899,blocks
5695,511099501001029,86.84761397648057,86.57932301367237,84.78370676583693,94.2852784870919,blocks
5696,511099501001030,88.39450583278956,87.54000001994295,85.12949851741739,98.6709077347444,blocks
5697,511099501001031,92.82889951376005,92.83898950880005,90.76192711520004,95.24582247200004,blocks
5698,511099501001032,87.51300144748575,86.94741679520003,86.09838062720006,94.55551915280002,blocks
5699,511099501001033,96.63407250169348,96.47523187299271,94.69897420067163,99.38376231077376,blocks
5700,511099501001034,94.69330191068738,94.15191935120006,88.75869395360002,104.21361318560004,blocks
5701,511099501001035,90.19483879805408,88.89018980194601,88.32167145913516,96.69397288075682,blocks
5702,511099501001036,90.63177512818186,90.10923755245457,89.1435847566364,93.65485845363641,blocks
5703,511099501001037,92.91153047033599,92.9525862202601,87.06494202780496,98.47083237694886,blocks
5704,511099501001038,94.28484392950654,94.5130833247533,91.84576261345455,95.90465248548061,blocks
5705,511099501001039,90.49588947236926,90.26604077360001,89.04293649680002,93.28934782400003,blocks
5706,511099501001040,90.04260287147173,89.45220118286795,88.04909752377361,92.76557817811323,blocks
5707,511099501001041,90.67997666768004,90.61549913840003,88.43138435840007,92.73193712240005,blocks
5708,511099501001042,90.85602093327505,91.25227626440004,88.41538802480001,92.8057663544,blocks
5709,511099501001043,90.20982951064904,89.87743498821195,89.03169913356295,92.90952657637085,blocks
5710,511099501001044,89.48098994000003,89.48098994000003,89.33333147600007,89.628648404,blocks
5711,511099501001045,91.78120457071466,90.29925502433,87.38458432323074,103.53658301251724,blocks
5712,511099501001046,88.14981723135274,87.94474454094609,87.12409637639837,89.97494630582574,blocks
5713,511099501001047,94.0471272029407,93.99105139855088,89.07689742212719,99.29106217682207,blocks
5714,511099501001048,90.69290610859892,90.3083163107283,88.8491540957782,95.11987380527175,blocks
5715,511099501001049,89.60905450396635,88.68519066830818,86.38756763357235,101.41132064561393,blocks
5716,511099501001050,91.18140378562332,90.97480140080003,89.08354257440004,94.28358148160005,blocks
5717,511099501001051,89.92973764037532,89.68989118798173,87.48874105887417,95.76845571957897,blocks
5718,511099501001052,92.34094692884207,92.04443183413137,89.0159673570807,98.3647496900113,blocks
5719,511099501001053,93.85698695045004,94.04855842640006,91.48299261440005,95.39717239760003,blocks
5720,511099501001054,92.83264769272668,91.30471682456981,86.35703192341352,109.81397386000339,blocks
5721,511099501001055,92.84311526000005,92.95711628000001,91.65714274400001,93.92015346800002,blocks
5722,511099501001056,93.0800448352344,92.74262217335944,90.33254956807815,97.61183065772659,blocks
5723,511099501001057,88.5593966602256,88.50057844688726,87.7660793581053,89.98636861142859,blocks
5724,511099501001058,94.54290665900004,94.54290665900004,94.20221551550006,94.88359780250003,blocks
5725,511099501001059,96.17258941678053,96.13717539492686,94.06995689892688,98.74370742712196,blocks
5726,511099501001060,90.57128872845682,90.2703212118917,87.41776486826936,96.31499241568625,blocks
5727,511099501001061,94.65103959928575,94.39458900542861,91.96556591171432,100.98731193800006,blocks
5728,511099501001062,91.23449257940499,90.49909474796699,87.60488490056201,99.94370546614878,blocks
5729,511099501001063,90.01632341195352,89.96708007730238,87.07228739934887,95.76718180637211,blocks
5730,511099501001064,90.28665271063903,90.00828689261412,88.54855124746894,95.01751859171787,blocks
5731,511099501001065,90.4140441654235,90.2892096488907,88.09077180217896,93.66871950387282,blocks
5732,511099501001066,91.86677522806741,91.65877641038286,87.36760776009804,98.98641876379176,blocks
5733,511099501001067,92.75334233991323,91.79266355448102,86.48677143348996,104.72156079608241,blocks
5734,511099501001068,93.04503192734343,92.0798840645736,87.96099545966796,103.7225968965585,blocks
5735,511099501001069,89.02434273122837,88.33570343630498,87.11179510221643,96.2312735686685,blocks
