"locationname","countyname","totalpopulation","Coronary_Heart_Disease2018","Binge_Drinking2018","Mental_Health2018","High_Blood_Pressure2017","Physical_Inactivity2018","Diabetes2018","Current_Smoking2018","Cancer_except_skin2018","Current_Asthma2018","Dental_Visit2018","High_Cholesterol2017","COPD2018","Obesity2018","Physical_Health2018","Health_Insurance2018","less_than_sevenhr_sleep2018","Annual_Checkup2018"
"51003010201","Albemarle","4664","5.5","17.8","10.8","30.4","17.1","8.5","13.1","7.3","8.5","78.1","33.9","5.6","27.3","10.1","9.9","33.1","79.6"
"51003010402","Albemarle","3314","7","15.5","9.8","34.8","17.4","10","11.9","9.2","8.4","79.1","38.2","6.6","26.8","10.7","9.3","30.7","81.9"
"51003011301","Albemarle","5390","6.4","17.9","13.6","32.1","21.3","9.7","18.1","6.9","9.4","70.7","34.9","7.4","29.7","12.6","13.3","35.1","77.8"
"51003011303","Albemarle","3738","3.8","20.9","11.4","23.2","15.8","6.3","13.8","5","8.4","75.2","26.5","4.2","26.7","8.5","11.7","34.3","76"
"51003011202","Albemarle","3413","5.6","16.8","9.6","30.4","15.8","8.6","10.9","7.7","8.1","80","34.3","5.1","26","9.4","9","31.4","80.4"
"51003010700","Albemarle","6145","5.5","17.4","12.7","29.6","21.2","9.3","15.5","6.1","9.1","69.6","30","5.8","29.2","10.8","16.1","36.3","78.3"
"51003011000","Albemarle","6292","6","15.9","8.3","31.4","14","8.4","8.7","9","7.7","83.7","36.5","4.9","24.3","8.8","6.7","28.7","82.1"
"51065020102","Fluvanna","9341","6.3","16","10.7","32.6","19.4","9.3","13.2","8.4","8.4","78.4","36.1","5.9","32","10.1","10.2","32.4","80.3"
"51065020101","Fluvanna","5571","5","15.9","13.9","30.3","23.5","8.9","18.3","6.3","10","71.7","31.9","6.3","35.3","11.4","14.3","37.3","79.1"
"51065020200","Fluvanna","5468","6.5","15.4","12.4","38.5","24.1","11.5","16.5","7.4","9.3","72.2","37.1","6.8","36","12","13.2","36.7","80.9"
"51065020300","Fluvanna","5311","6.6","16.3","13.4","34.3","24.5","10.6","18.6","7.3","9.4","70.9","36.1","7.5","35.3","12.6","13.9","35.9","78.9"
"51079030102","Greene","5393","6.9","17.7","15.5","32.6","26.2","10.5","22.6","6.8","9.8","67.1","35.9","8.5","34","14.1","15.7","38.3","77.2"
"51079030101","Greene","3865","8.5","15.5","14.7","37.2","27.8","12.4","21.2","8.2","9.8","66.5","38.4","9.5","34.4","14.9","15.7","37.7","79.5"
"51079030200","Greene","9145","5.9","17.8","13.7","31.1","23","9.6","19.2","6.5","9.2","70.9","34.2","6.9","33.4","12.2","13.8","37.8","77.7"
"51109950500","Louisa","6340","7.4","16.4","15.6","35.3","26.7","12.1","22.9","6.9","10","64.4","36.2","8.8","39","15","15.6","39.6","77.9"
"51109950400","Louisa","2911","6.7","15.3","13.6","37.4","25.3","12.8","19.5","6.8","9.9","66.7","35.2","7.5","38.8","13.2","15.5","40","80.2"
"51109950201","Louisa","4629","8.8","14.4","16","37.7","30.3","14.2","23.2","7.4","10.5","59.8","36.3","9.8","40.6","16.4","18.8","40.5","79.4"
"51109950202","Louisa","3682","8.3","15","15.1","37.8","27.7","13.2","22.1","7.7","10.2","64.1","38.4","9.7","38.5","15.5","16.3","38.5","79.3"
"51109950300","Louisa","8551","6.9","16.3","14.4","33.9","25.1","11.5","20.8","7","9.7","66.9","35.3","8.1","37.7","13.7","15.2","38.8","78.4"
"51109950100","Louisa","7040","7.5","15.8","13.7","36","25.1","12","20.4","7.6","9.5","67.9","37.3","8.4","37","13.8","14.6","37.8","79.1"
"51125950100","Nelson","5696","9","15.3","16","38.5","31.6","14.2","24","7.8","10.4","61.2","39.3","10.7","37","16.8","17.7","39.5","79.5"
"51125950200","Nelson","4911","7.6","15.2","10.7","35.7","21.3","11.2","13.9","9.2","8.5","76.1","39.8","7.2","31.2","11.6","10.1","33.1","81.8"
"51125950300","Nelson","4413","8.6","15.1","13.6","38.5","28.1","13.6","19.7","8.3","9.5","66.5","39.7","9.3","35.4","14.7","15.2","37.3","80.7"
