"blkgroup","medc_allblk","medc_workinRegionblk","medc_within40blk","medc_25_employeesblk","commutersInBlgr","commuterinRegionblk","commuterw40blk","commuter25blk","avgc_allblk","avgc_workinRegionblk","avgc_within40blk","avgc_25_employeesblk","county"
"510030106012",21.2364421899996,2.79038253335797,5.02389109588384,15.8751524300606,1261,941,1028,1185,20.2947199165389,2.88609589537819,4.84663400290046,15.3066243446649,"51003"
"510030106013",22.796416962208,2.13937340139044,5.26541269619727,18.1895810457779,966,669,751,895,22.839341761686,2.41898473749735,5.04852285011359,17.8682499389161,"51003"
"510030106021",15.3465960641588,2.84127900060639,4.38971611418614,10.9587622370802,991,795,859,948,15.0555980006468,2.85276574086015,4.5941402028071,11.6008230176387,"51003"
"510030106022",15.5746357052325,3.27844402550594,4.89706243270372,12.175001266918,755,599,651,728,15.7623201948495,3.06908607713486,4.80006693005299,12.6092447216785,"51003"
"510030107001",24.4608905071625,3.03924513329681,4.41160782510798,16.6856503050321,509,374,398,469,24.0679163385247,2.87038112620515,4.31405848943522,16.6664521343591,"51003"
"510030107002",20.2965778476807,1.96424882952004,4.08968412168736,14.8742681826361,1242,928,1011,1165,20.4004302408546,2.0990092687474,4.18233700718057,15.398020878576,"51003"
"510030107003",17.4738250826068,2.6050618201198,4.48762712478766,13.283081113094,1154,869,938,1079,19.6423786188978,2.45161909902834,4.29383565369285,14.6617090576118,"51003"
"510030108001",20.5222551106067,2.90082921829813,5.08614395577316,14.7244557213876,553,404,444,519,21.0770250552809,2.93015785587951,5.03514706613347,15.7785717053439,"51003"
"510030108002",17.5615832891735,2.33914487476892,3.86987224052164,11.4449482975142,532,411,441,499,18.0429910096448,2.46651577043587,4.09729248500556,12.5388433340689,"51003"
"510030108003",18.6954571854997,2.1175832808975,4.24054587962044,11.4483479428791,626,475,517,584,19.3928645014535,2.15613517257756,4.22349101143096,12.9805253902821,"51003"
"510030108004",19.6952448009564,3.18331562464569,4.94770803595215,14.4749621803513,574,431,469,535,19.844165737273,3.21477607223417,5.07598480476505,14.7729822901323,"51003"
"510030108005",19.3569626692391,2.75164001656405,5.18301678505958,13.1603761444308,423,322,351,396,20.2314630664681,2.98407286912716,5.16029498051753,14.3116706729418,"51003"
"510030109011",41.0527554290725,2.19823548211541,4.85671652430577,26.8861163349451,283,152,170,224,41.8344955931184,2.02755069966069,4.7978560861683,26.6176983978335,"51003"
"510030109012",37.7894972235603,2.74796902355525,4.73825744606068,31.3061123762268,97,49,55,86,39.5433081082116,2.3535868171243,4.96058820120482,31.0336152940513,"51003"
"510030109021",41.9015262539083,3.41891563179801,5.09267190983132,33.3605936030377,253,134,150,226,40.7964009501075,3.31874795611928,5.65689838570787,33.6148814332687,"51003"
"510030109022",44.5343015618245,2.52803996849603,5.7457351355244,36.0608627884575,358,171,197,304,44.5343015618245,2.52803996849603,5.7457351355244,36.0608627884575,"51003"
"510030109031",78.3847210515813,6.45520366075607,20.2819642858838,64.844627639055,128,10,26,89,78.3847210515813,6.45520366075607,20.2819642858838,64.844627639055,"51003"
