STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,Year,June,July,August,JuneF,JulyF,AugustF,NAMES,Totpcp,Totpcpinch
51,065,020200,2,510650202002,Block Group 2,1980,28.96,32.43,32.43,84.13,90.37,90.37,Fluvanna,829.12,32.64
51,065,020200,3,510650202003,Block Group 3,1980,29.02,32.5,32.53,84.24,90.5,90.56,Fluvanna,829.16,32.64
51,065,020200,4,510650202004,Block Group 4,1980,29.01,32.5,32.61,84.21,90.5,90.71,Fluvanna,839.74,33.06
51,065,020300,1,510650203001,Block Group 1,1980,28.85,32.34,32.21,83.92,90.21,89.98,Fluvanna,874.01,34.41
51,065,020300,2,510650203002,Block Group 2,1980,28.9,32.42,32.41,84.02,90.35,90.34,Fluvanna,850.79,33.5
51,065,020300,3,510650203003,Block Group 3,1980,28.9,32.44,32.41,84.02,90.4,90.34,Fluvanna,846.7,33.33
51,079,030101,1,510790301011,Block Group 1,1980,25.82,29.42,28.63,78.48,84.95,83.53,Greene,989.69,38.96
51,079,030101,2,510790301012,Block Group 2,1980,28.43,31.99,31.34,83.18,89.59,88.41,Greene,895.84,35.27
51,079,030102,1,510790301021,Block Group 1,1980,26.13,29.75,28.96,79.03,85.56,84.12,Greene,975.44,38.4
51,079,030102,2,510790301022,Block Group 2,1980,28.45,32.03,31.36,83.22,89.66,88.45,Greene,881.35,34.7
51,079,030102,3,510790301023,Block Group 3,1980,28.37,31.94,31.29,83.06,89.48,88.33,Greene,884.64,34.83
51,079,030102,4,510790301024,Block Group 4,1980,28.29,31.89,31.21,82.93,89.41,88.18,Greene,874.98,34.45
51,079,030200,1,510790302001,Block Group 1,1980,28.52,32.05,31.49,83.33,89.69,88.69,Greene,914.63,36.01
51,079,030200,2,510790302002,Block Group 2,1980,28.47,32.04,31.42,83.24,89.67,88.56,Greene,888.15,34.97
51,079,030200,3,510790302003,Block Group 3,1980,28.51,32.04,31.45,83.32,89.67,88.62,Greene,910.82,35.86
51,079,030200,4,510790302004,Block Group 4,1980,28.42,31.97,31.39,83.15,89.54,88.5,Greene,910.22,35.84
51,109,950100,1,511099501001,Block Group 1,1980,28.72,32.34,32.48,83.69,90.22,90.46,Louisa,907.62,35.73
51,109,950100,2,511099501002,Block Group 2,1980,28.7,32.29,32.34,83.66,90.11,90.22,Louisa,889.53,35.02
51,109,950100,3,511099501003,Block Group 3,1980,28.65,32.21,32.29,83.57,89.98,90.11,Louisa,881.73,34.71
51,109,950100,4,511099501004,Block Group 4,1980,28.78,32.31,32.4,83.81,90.15,90.32,Louisa,884.12,34.81
51,109,950201,1,511099502011,Block Group 1,1980,28.66,32.13,31.99,83.59,89.83,89.58,Louisa,856.62,33.73
51,109,950201,2,511099502012,Block Group 2,1980,28.57,32.03,31.9,83.43,89.66,89.42,Louisa,866.19,34.1
51,109,950201,3,511099502013,Block Group 3,1980,28.7,32.18,32.13,83.66,89.92,89.83,Louisa,868.92,34.21
51,109,950202,1,511099502021,Block Group 1,1980,28.63,32.18,32.15,83.54,89.92,89.87,Louisa,857.63,33.76
51,109,950202,2,511099502022,Block Group 2,1980,28.59,32.11,32.09,83.46,89.79,89.77,Louisa,878.41,34.58
51,109,950300,1,511099503001,Block Group 1,1980,28.69,32.14,31.9,83.64,89.84,89.42,Louisa,862.1,33.94
51,109,950300,2,511099503002,Block Group 2,1980,28.66,32.11,31.85,83.6,89.8,89.32,Louisa,887.27,34.93
51,109,950300,3,511099503003,Block Group 3,1980,28.68,32.15,31.91,83.62,89.87,89.44,Louisa,880.74,34.67
51,109,950400,1,511099504001,Block Group 1,1980,28.65,32.11,31.98,83.57,89.79,89.56,Louisa,862.39,33.95
51,109,950400,2,511099504002,Block Group 2,1980,28.72,32.19,32.18,83.69,89.95,89.92,Louisa,867.72,34.16
51,109,950500,1,511099505001,Block Group 1,1980,28.71,32.3,32.46,83.67,90.14,90.43,Louisa,895.17,35.24
51,109,950500,2,511099505002,Block Group 2,1980,28.79,32.35,32.54,83.82,90.24,90.57,Louisa,909.68,35.81
51,109,950500,3,511099505003,Block Group 3,1980,28.86,32.42,32.63,83.96,90.35,90.73,Louisa,902.83,35.54
51,125,950100,1,511259501001,Block Group 1,1980,28.51,32.19,32.2,83.31,89.94,89.96,Nelson,904.1,35.59
51,125,950100,2,511259501002,Block Group 2,1980,28.06,31.81,31.64,82.51,89.25,88.95,Nelson,955.42,37.61
51,125,950100,3,511259501003,Block Group 3,1980,28.33,32.08,32.05,83,89.74,89.69,Nelson,919.8,36.21
51,125,950100,4,511259501004,Block Group 4,1980,28.45,32.18,32.33,83.22,89.92,90.19,Nelson,900.76,35.46
51,125,950200,1,511259502001,Block Group 1,1980,26.82,30.52,30.15,80.27,86.94,86.26,Nelson,1070.15,42.13
51,125,950200,2,511259502002,Block Group 2,1980,27.93,31.65,31.32,82.28,88.97,88.38,Nelson,953.22,37.53
51,125,950200,3,511259502003,Block Group 3,1980,27.26,30.97,30.6,81.06,87.75,87.07,Nelson,1008.64,39.71
51,125,950200,4,511259502004,Block Group 4,1980,27.37,31.09,30.62,81.27,87.96,87.12,Nelson,990.97,39.01
51,125,950300,1,511259503001,Block Group 1,1980,27.92,31.69,31.46,82.25,89.05,88.63,Nelson,970.87,38.22
51,125,950300,2,511259503002,Block Group 2,1980,27.94,31.72,31.48,82.3,89.1,88.67,Nelson,949.23,37.37
51,125,950300,3,511259503003,Block Group 3,1980,27.12,30.94,30.6,80.82,87.69,87.09,Nelson,1066.71,42
51,125,950300,4,511259503004,Block Group 4,1980,28.24,32.03,31.96,82.84,89.65,89.53,Nelson,904.2,35.6
