STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can
51,003,011302,1014,510030113021014,Block 1014,43.833333333333336
51,003,011301,2002,510030113012002,Block 2002,70.64748201438849
51,003,010402,1031,510030104021031,Block 1031,69.88354549740689
51,003,010402,2000,510030104022000,Block 2000,65.14266666666667
51,003,010402,2038,510030104022038,Block 2038,73.91927710843373
51,003,010401,3069,510030104013069,Block 3069,55.44444444444444
51,003,010401,3067,510030104013067,Block 3067,70.05298165137614
51,003,010202,2006,510030102022006,Block 2006,15
51,003,010300,1023,510030103001023,Block 1023,9
51,003,010300,4004,510030103004004,Block 4004,6.25
51,003,010300,4010,510030103004010,Block 4010,0
51,003,010300,1006,510030103001006,Block 1006,17.666666666666668
51,003,010300,1014,510030103001014,Block 1014,46.03378378378378
51,003,010300,2015,510030103002015,Block 2015,56.201863354037265
51,003,010100,2032,510030101002032,Block 2032,77.75
51,003,010300,2019,510030103002019,Block 2019,1.2
51,003,010300,2004,510030103002004,Block 2004,65.23029966703663
51,003,010401,1038,510030104011038,Block 1038,74.15076923076923
51,003,010100,2102,510030101002102,Block 2102,85.00813008130082
51,003,010100,2141,510030101002141,Block 2141,83.84668989547038
51,003,010100,2184,510030101002184,Block 2184,93.63636363636364
51,003,010100,2181,510030101002181,Block 2181,52
51,003,010100,2091,510030101002091,Block 2091,29.55199115044248
51,003,010300,3004,510030103003004,Block 3004,0
51,003,010201,1051,510030102011051,Block 1051,19.071428571428573
51,003,010201,1073,510030102011073,Block 1073,38.08571428571429
51,003,010201,1026,510030102011026,Block 1026,44.43478260869565
51,003,010201,1067,510030102011067,Block 1067,29
51,003,010201,1061,510030102011061,Block 1061,58.88235294117647
51,003,010201,1043,510030102011043,Block 1043,14.4
51,003,010201,1082,510030102011082,Block 1082,61.46892177589852
51,003,010201,1084,510030102011084,Block 1084,22.833333333333332
51,003,010201,1079,510030102011079,Block 1079,52.80952380952381
51,003,010100,2034,510030101002034,Block 2034,0
51,003,010100,3004,510030101003004,Block 3004,15.52962962962963
51,003,010100,1071,510030101001071,Block 1071,59.930473372781066
51,003,010201,2014,510030102012014,Block 2014,40.59143748227956
51,003,010201,2017,510030102012017,Block 2017,60.285714285714285
51,003,010201,1017,510030102011017,Block 1017,23.4
51,003,010201,1019,510030102011019,Block 1019,40
51,003,010100,2048,510030101002048,Block 2048,29.333333333333332
51,003,010201,2005,510030102012005,Block 2005,70.9437151949085
51,003,010100,2041,510030101002041,Block 2041,77.25862068965517
51,003,011100,4053,510030111004053,Block 4053,58.46969696969697
51,003,011201,1025,510030112011025,Block 1025,70.8
51,003,011400,2025,510030114002025,Block 2025,38.888888888888886
51,003,010100,3083,510030101003083,Block 3083,24
51,003,011100,1015,510030111001015,Block 1015,9.666666666666666
51,003,011400,3142,510030114003142,Block 3142,30.494444444444444
51,003,011100,1053,510030111001053,Block 1053,6.6
51,003,011100,1050,510030111001050,Block 1050,8.777777777777779
51,003,011400,3131,510030114003131,Block 3131,75.89888423988842
51,003,010401,1099,510030104011099,Block 1099,70.77941176470588
51,079,030101,2054,510790301012054,Block 2054,3.9311163895486936
51,079,030102,1022,510790301021022,Block 1022,34
51,079,030102,1029,510790301021029,Block 1029,56.56535947712418
51,079,030102,2005,510790301022005,Block 2005,43.6390977443609
51,079,030101,2034,510790301012034,Block 2034,42.05263157894737
51,079,030200,2045,510790302002045,Block 2045,70.76571428571428
51,079,030102,4016,510790301024016,Block 4016,28.901960784313726
51,125,950200,2087,511259502002087,Block 2087,20.38888888888889
51,125,950100,2010,511259501002010,Block 2010,72.29032258064517
51,125,950300,1059,511259503001059,Block 1059,0
51,125,950300,3069,511259503003069,Block 3069,69.56666666666666
51,125,950300,3105,511259503003105,Block 3105,59.53846153846154
51,125,950300,3015,511259503003015,Block 3015,70.72
51,125,950300,3021,511259503003021,Block 3021,28.5
51,125,950300,4203,511259503004203,Block 4203,7
51,125,950300,4016,511259503004016,Block 4016,42.90023752969121
51,125,950300,4024,511259503004024,Block 4024,11.652173913043478
51,125,950300,4021,511259503004021,Block 4021,3.22
51,125,950300,4015,511259503004015,Block 4015,65.33333333333333
51,125,950100,1107,511259501001107,Block 1107,84.93617021276596
51,125,950100,1073,511259501001073,Block 1073,73.11194029850746
51,125,950100,1067,511259501001067,Block 1067,76.08695652173913
51,125,950300,1154,511259503001154,Block 1154,22.846846846846848
51,125,950100,1063,511259501001063,Block 1063,86.67013888888889
51,125,950100,3050,511259501003050,Block 3050,8.795918367346939
51,125,950100,3049,511259501003049,Block 3049,17.35
51,125,950100,2139,511259501002139,Block 2139,83.51928020565553
51,125,950100,3000,511259501003000,Block 3000,68.24655436447166
51,125,950100,4044,511259501004044,Block 4044,39.900714853057984
51,125,950100,4103,511259501004103,Block 4103,81.71395881006865
51,125,950300,1132,511259503001132,Block 1132,81.64864864864865
51,125,950100,2126,511259501002126,Block 2126,18.833333333333332
51,125,950300,2068,511259503002068,Block 2068,22.2
51,125,950100,2128,511259501002128,Block 2128,33.36363636363637
51,125,950300,2057,511259503002057,Block 2057,69
51,125,950100,3051,511259501003051,Block 3051,7.2
51,125,950100,2173,511259501002173,Block 2173,71.96
51,125,950100,1089,511259501001089,Block 1089,33
51,125,950100,3054,511259501003054,Block 3054,34.76470588235294
51,125,950100,3058,511259501003058,Block 3058,0
51,125,950300,4050,511259503004050,Block 4050,59.44444444444444
51,125,950100,1068,511259501001068,Block 1068,13.076923076923077
51,125,950300,1136,511259503001136,Block 1136,26.063492063492063
51,125,950100,1109,511259501001109,Block 1109,32.36842105263158
51,125,950100,2169,511259501002169,Block 2169,30.6
51,125,950300,1172,511259503001172,Block 1172,0
51,125,950300,4067,511259503004067,Block 4067,12.1
51,125,950100,3028,511259501003028,Block 3028,30.333333333333332
51,125,950300,4103,511259503004103,Block 4103,26.5
51,125,950300,1151,511259503001151,Block 1151,69.54716981132076
51,125,950100,1175,511259501001175,Block 1175,53.6
51,125,950100,1126,511259501001126,Block 1126,27.333333333333332
51,125,950300,4143,511259503004143,Block 4143,14.6
51,125,950100,3099,511259501003099,Block 3099,8.875
51,125,950100,3100,511259501003100,Block 3100,32.588235294117645
51,125,950300,4141,511259503004141,Block 4141,14.428571428571429
51,125,950100,1173,511259501001173,Block 1173,11.5
51,125,950300,4150,511259503004150,Block 4150,0
51,125,950100,1159,511259501001159,Block 1159,75.66666666666667
51,125,950300,4105,511259503004105,Block 4105,32.54545454545455
51,125,950300,4190,511259503004190,Block 4190,0
51,125,950100,1115,511259501001115,Block 1115,86.68316831683168
51,125,950100,1310,511259501001310,Block 1310,82.84482758620689
51,125,950100,4025,511259501004025,Block 4025,37.888888888888886
51,125,950100,1211,511259501001211,Block 1211,13.666666666666666
51,125,950300,4165,511259503004165,Block 4165,12.866666666666667
51,125,950300,4175,511259503004175,Block 4175,3.1666666666666665
51,125,950100,4005,511259501004005,Block 4005,12.818181818181818
51,125,950300,4169,511259503004169,Block 4169,0
51,125,950300,4170,511259503004170,Block 4170,12.11111111111111
51,125,950100,4017,511259501004017,Block 4017,71.10810810810811
51,125,950100,4091,511259501004091,Block 4091,84.64
