"tract","medc_allworkerstr","medc_livewithin40tr","medc_25_restr","workersIntr","liveoutsideCvilletr","liveinsideCvilletr","perc_workers_liveinCvilletr","perc_workers_liveoutsideCvilletr","workersw40tr","workers25tr","avgc_allworkerstr","avgc_livewithin40tr","avgc_25_restr","county"
"51125950100",16.5266254641138,11.2913402322128,12.8748071437252,1170,372,798,68.2051282051282,31.7948717948718,1074,1108,18.8116352611467,11.5308175466558,13.4883393403135,"51125"
"51125950200",18.7631216325893,11.2162068257407,13.263583452972,1311,515,796,60.7170099160946,39.2829900839054,1218,1259,17.7100622301967,11.1433096723089,13.4375093060477,"51125"
"51125950300",19.4756651484987,12.071343400183,16.0499263761434,1210,556,654,54.0495867768595,45.9504132231405,1067,1115,20.6740134243914,11.743989390195,14.8062962704376,"51125"
"51540000201",20.5018610274467,8.7603975769399,12.32430129748,1210,322,888,73.3884297520661,26.6115702479339,1002,1082,22.393016780406,8.13170263487443,12.4623537101109,"51540"
"51540000202",29.1026250720148,7.23257552473578,12.2500945588276,1994,657,1337,67.0511534603811,32.9488465396189,1520,1634,28.2669829975691,7.55179982766191,11.9679591881879,"51540"
"51540000302",24.231670275455,9.3236428364282,13.6345867089924,2614,922,1692,64.7283856159143,35.2716143840857,2110,2293,23.370241849827,9.98171556744083,14.2746493431349,"51540"
"51540000401",28.7741822769048,8.5718637693252,14.7990743388223,594,246,348,58.5858585858586,41.4141414141414,441,496,30.8396491000768,9.05514468570916,16.2776723678095,"51540"
"51540000402",19.2240707908857,9.91201453239886,14.9496518407857,1982,619,1363,68.7689202825429,31.2310797174571,1644,1836,22.8319900455121,10.0560013047299,15.3435217642541,"51540"
"51540000501",20.962747588793,8.88079824726269,15.1371098517528,250,78,172,68.8,31.2,210,229,20.5254934452521,7.91004538656708,12.708683549778,"51540"
"51540000502",25.0949890799351,11.1349585925672,18.01976421065,478,199,279,58.3682008368201,41.6317991631799,366,426,27.5294043589622,10.7307396450034,19.0616547126812,"51540"
"51540000600",18.0104626243587,10.7376749718491,14.8842488845924,8865,2391,6474,73.0287648054146,26.9712351945854,7774,8512,17.7957759335295,10.3948368863221,14.528797217942,"51540"
"51540000700",30.3027871437818,9.05831794026777,15.1772543926366,3739,1374,2365,63.2522064723188,36.7477935276812,2767,3068,29.9413929450795,8.49281359500525,14.3917170032983,"51540"
"51540000800",32.3656234357503,10.8500267667403,18.4586553423715,2773,1245,1528,55.1027767760548,44.8972232239452,1958,2257,32.6159496078427,10.6913818156969,18.3546016257758,"51540"
"51540000900",29.489009600905,7.62348481005812,13.9383665193948,948,373,575,60.6540084388186,39.3459915611814,703,788,29.5705520878697,8.79423453162493,14.6495308695317,"51540"
"51540001000",28.9304843316136,8.05337002592838,12.5108315704333,14047,4203,9844,70.0790204314088,29.9209795685912,11133,12026,28.1411507092003,8.24162884449244,12.8712747789665,"51540"
