"census_tract","year","conventional","fha_insured","va_guaranteed","usda_guaranteed","home_purchase","home_improve","refinance","cash_out_refi","other_purpose","purposeNA","req_preapproval","noreq_preapproval","originated_loan","approvedApp_notAccepted","app_denied","app_withdrawn","fileclosed_incomplete","purchased_loan","denied_preapproval","approve_preapproval","appRace_AIAN","appRace_Asian","appRace_Black","appRace_HawPI","appRace_White","appRace_missing","appRace_NA","appRace_multiracial","appEth_HispLat","appMale","appFemale","appsex_missing","avg_rateSpread","highCost_mortgages","nonHighCost_mortgages","firstlien_secured","sublien_secured","avg_loan_amount","med_loan_amount","avg_app_income","median_app_income","median_income_accepted_app","white_denial_rate","black_denial_rate","hislat_denial_rate","loans_per_units","perc_conventional","perc_govern_backed","sum_mortgage_dollars_in000s","avg_homepurchase_loanamount","med_homepurchase_loanamount","total_apps","perc_app_missingRace","overall_denial_rate","perc_white_apps","perc_black_apps","perc_hislat_apps","population","minority_population","median_family_income","tract_to_msamd_income","tract_owner_occupied_units","tract_one_to_four_family_homes"
"51003010201",2016,230,52,53,27,164,22,0,0,0,0,4,63,208,6,50,35,12,51,0,0,0,22,42,0,220,50,28,1,9,201,96,37,NA,0,362,292,7,240397.790055249,230,105518.987341772,83000,85000,0.136363636363636,0.238095238095238,0.222222222222222,0.000321176990139249,67.7884615384615,32.2115384615385,52771,252.603658536585,241.5,362,13.8121546961326,0.138121546961326,60.7734806629834,11.6022099447514,2.48618784530387,4664,17.6000003814697,77000,150.869995117188,1392,1789
"51003010201",2017,186,43,39,16,183,27,0,0,0,0,7,49,158,7,29,35,12,43,0,0,1,14,20,0,181,38,30,1,8,154,73,27,1.86,0,284,212,9,244700.704225352,225,96884.4621513944,79000,79500,0.0994475138121547,0.2,0.125,0.000311673965360792,68.3544303797468,31.6455696202532,37886,271.743169398907,245,284,13.3802816901408,0.102112676056338,63.7323943661972,7.04225352112676,2.8169014084507,4536,26.5900001525879,74100,121.370002746582,1489,1785
"51003010202",2012,231,10,24,2,58,13,0,0,0,0,1,12,150,6,35,21,14,41,0,0,0,3,1,0,206,38,19,0,2,178,47,23,3.88,0,267,217,3,312591.760299625,269,149449.579831933,114500,113000,0.116504854368932,0,0,0.000418939412982095,88.6666666666667,11.3333333333333,45047,345.448275862069,280,267,14.2322097378277,0.131086142322097,77.1535580524345,0.374531835205993,0.749063670411985,3077,6.53000020980835,77800,154.350006103516,1097,1341
"51003010202",2013,199,15,16,7,97,19,0,0,0,0,3,14,136,10,17,21,6,47,0,0,0,1,0,0,173,32,31,0,3,141,44,21,1.61,0,237,174,6,326312.23628692,291,146400.99009901,115000,124000,0.0809248554913295,NA,0,0.000427919211370065,88.2352941176471,11.7647058823529,43116,371.381443298969,314,237,13.5021097046413,0.0717299578059072,72.9957805907173,0,1.26582278481013,3077,6.53000020980835,77500,154.350006103516,1097,1341
"51003010202",2014,109,10,8,0,70,13,0,0,0,0,2,9,77,5,8,15,2,20,0,0,0,1,0,0,92,17,17,0,2,81,19,10,4,0,127,96,6,364173.228346457,365,186738.738738739,142000,128000,0.0543478260869565,NA,0,0.000452124692467133,85.7142857142857,14.2857142857143,29041,424.671428571429,400,127,13.3858267716535,0.062992125984252,72.4409448818898,0,1.5748031496063,3077,6.53000020980835,77800,161.440002441406,1097,1341
"51003010202",2015,131,8,10,0,55,10,0,0,0,0,1,12,80,7,19,9,14,20,0,0,0,4,1,0,103,29,12,1,5,90,31,16,3.54,0,149,118,7,320557.046979866,296,159153.846153846,130000,135000,0.12621359223301,0,0,0.000400382365158727,87.5,12.5,26792,333.6,311,149,19.4630872483221,0.12751677852349,69.1275167785235,0.671140939597315,3.35570469798658,3077,6.53000020980835,80800,161.440002441406,1097,1341
"51003010202",2016,151,14,16,4,80,17,0,0,0,0,0,13,112,7,20,13,5,28,0,0,0,5,4,0,118,38,20,0,3,114,29,22,1.75,0,185,150,1,351081.081081081,342,151664.634146341,121500,139000,0.0932203389830508,0.5,0,0.000451458169578975,85.7142857142857,14.2857142857143,40836,385.45,392.5,185,20.5405405405405,0.108108108108108,63.7837837837838,2.16216216216216,1.62162162162162,3077,6.53000020980835,77000,161.440002441406,1097,1341
"51003010202",2017,136,13,5,2,75,16,0,0,0,0,2,15,78,6,21,18,7,26,0,0,1,2,1,0,112,28,12,1,6,100,26,18,3.7,0,156,120,4,370076.923076923,337,164579.310344828,129000,142000,0.116071428571429,0,0.166666666666667,0.000375375375375375,87.1794871794872,12.8205128205128,28767,388.893333333333,365,156,17.9487179487179,0.134615384615385,71.7948717948718,0.641025641025641,3.84615384615385,3155,11.9799995422363,74100,177.029998779297,1070,1332
"51003010300",2007,733,12,2,1,414,40,0,0,0,0,27,146,383,40,72,74,14,165,0,0,0,58,51,6,480,108,45,3,16,438,205,60,4.52222222222222,1,747,460,116,238201.871657754,230,110238.848920863,89000,91000,0.1,0.215686274509804,0.0625,0.000216962748119279,98.4334203655353,1.56657963446475,94338,262.649758454106,239.5,748,14.4385026737968,0.0962566844919786,64.1711229946524,6.81818181818182,2.13903743315508,6589,10.8400001525879,66800,129.949996948242,1833,2360
"51003010300",2008,436,61,23,0,217,37,0,0,0,0,8,75,257,24,75,59,6,99,0,0,2,41,22,2,316,74,63,2,7,273,132,52,4.02666666666667,0,520,366,46,238526.923076923,245.5,106809.935205184,94000,94000,0.110759493670886,0.545454545454545,0,0.000209419817470665,87.9377431906615,12.0622568093385,61780,251.207373271889,248,520,14.2307692307692,0.144230769230769,60.7692307692308,4.23076923076923,1.34615384615385,6589,10.8400001525879,68500,129.949996948242,1833,2360
