"BlockCode","Blkgr","tract","resproviders","bb253_num","bb253_per","bbmin_dl","bbmax_dl","bbmin_up","bbmax_up","avgMaxAdDown","avgMaxAdUp"
"510010901003014","510010901003","51001090100",7,4,57.1,2,2000,1,2000,433.142857142857,292.185714285714
"510010901003015","510010901003","51001090100",5,4,80,2,940,1.3,35,206.4,10.46
"510010901003016","510010901003","51001090100",6,3,50,2,940,1,35,172,7.55
"510010901003017","510010901003","51001090100",7,4,57.1,2,2000,1,2000,433.142857142857,292.185714285714
"510010901003018","510010901003","51001090100",4,4,100,30,2000,3,2000,751.25,512
"510010901003019","510010901003","51001090100",3,3,100,35,2000,3,2000,991.666666666667,679.333333333333
"510010901003020","510010901003","51001090100",4,3,75,15,2000,2,2000,747.5,510
"510010901003021","510010901003","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901003022","510010901003","51001090100",5,4,80,2,2000,1.3,2000,600.4,408.46
"510010901003023","510010901003","51001090100",4,3,75,15,2000,2,2000,747.5,510
"510010901003024","510010901003","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901003025","510010901003","51001090100",3,2,66.7,2,35,1.3,3,20.6666666666667,2.43333333333333
"510010901003026","510010901003","51001090100",7,4,57.1,2,2000,1,2000,433.142857142857,292.185714285714
"510010901003027","510010901003","51001090100",7,4,57.1,2,2000,0.768,2000,431.428571428571,292.152571428571
"510010901003028","510010901003","51001090100",7,4,57.1,2,2000,0.768,2000,431.428571428571,292.152571428571
"510010901003029","510010901003","51001090100",7,4,57.1,2,2000,0.768,2000,431.428571428571,292.152571428571
"510010901003030","510010901003","51001090100",7,4,57.1,2,2000,1,2000,433.142857142857,292.185714285714
"510010901003031","510010901003","51001090100",7,4,57.1,2,2000,0.768,2000,431.428571428571,292.152571428571
"510010901003032","510010901003","51001090100",6,4,66.7,2,2000,1.3,2000,502.833333333333,340.716666666667
"510010901003033","510010901003","51001090100",6,3,50,2,940,0.768,35,170.333333333333,7.51133333333333
"510010901003034","510010901003","51001090100",6,3,50,2,940,1,35,171.166666666667,7.55
"510010901003035","510010901003","51001090100",7,4,57.1,2,2000,0.768,2000,431.714285714286,292.152571428571
"510010901003036","510010901003","51001090100",7,4,57.1,2,2000,0.768,2000,432,292.152571428571
"510010901003037","510010901003","51001090100",6,4,66.7,2,2000,1.3,2000,502.833333333333,340.716666666667
"510010901003038","510010901003","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901003039","510010901003","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004000","510010901004","51001090100",6,4,66.7,2,2000,1.3,2000,351.166666666667,336.55
"510010901004001","510010901004","51001090100",4,3,75,15,2000,2,2000,520,503.75
"510010901004002","510010901004","51001090100",4,3,75,15,2000,2,2000,520,503.75
"510010901004003","510010901004","51001090100",6,4,66.7,2,2000,1.3,2000,351.166666666667,336.55
"510010901004004","510010901004","51001090100",4,3,75,15,2000,2,2000,520,503.75
"510010901004005","510010901004","51001090100",5,4,80,15,2000,2,2000,604,410
"510010901004006","510010901004","51001090100",5,4,80,15,2000,2,2000,604,410
"510010901004007","510010901004","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901004008","510010901004","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901004009","510010901004","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901004010","510010901004","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901004011","510010901004","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901004012","510010901004","51001090100",8,5,62.5,2,2000,1,2000,382.125,256.9125
"510010901004013","510010901004","51001090100",8,5,62.5,2,2000,1,2000,382.125,256.9125
"510010901004014","510010901004","51001090100",8,5,62.5,2,2000,0.768,2000,381.75,256.8835
"510010901004015","510010901004","51001090100",9,6,66.7,2,2000,1,2000,342.444444444444,228.7
"510010901004016","510010901004","51001090100",8,5,62.5,2,2000,1,2000,382.125,256.9125
"510010901004017","510010901004","51001090100",8,5,62.5,2,2000,0.768,2000,381.5,256.8835
"510010901004018","510010901004","51001090100",5,4,80,15,2000,2,2000,604,410
"510010901004019","510010901004","51001090100",9,6,66.7,2,2000,1,2000,343,228.7
"510010901004020","510010901004","51001090100",8,5,62.5,2,2000,0.768,2000,381.5,256.8835
"510010901004021","510010901004","51001090100",9,6,66.7,2,2000,1,2000,342.444444444444,228.7
"510010901004022","510010901004","51001090100",5,4,80,15,2000,2,2000,604,410
"510010901004023","510010901004","51001090100",8,5,62.5,2,2000,0.768,2000,381.5,256.8835
"510010901004024","510010901004","51001090100",6,5,83.3,2,2000,1.3,2000,505.333333333333,342.05
"510010901004025","510010901004","51001090100",7,5,71.4,2,2000,1.3,2000,435.285714285714,293.471428571429
"510010901004026","510010901004","51001090100",3,3,100,30,940,3,35,335,16
"510010901004027","510010901004","51001090100",7,5,71.4,2,2000,0.768,2000,433.857142857143,293.295428571429
"510010901004028","510010901004","51001090100",2,1,50,15,35,2,3,25,2.5
"510010901004029","510010901004","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901004030","510010901004","51001090100",7,4,57.1,2,2000,0.768,2000,431.428571428571,292.152571428571
"510010901004031","510010901004","51001090100",7,4,57.1,2,2000,0.768,2000,431.714285714286,292.152571428571
"510010901004032","510010901004","51001090100",6,3,50,2,940,0.768,35,170.333333333333,7.51133333333333
"510010901004033","510010901004","51001090100",4,3,75,15,2000,2,2000,747.5,510
"510010901004034","510010901004","51001090100",6,3,50,2,940,0.768,35,170.333333333333,7.51133333333333
"510010901004035","510010901004","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901004036","510010901004","51001090100",6,3,50,2,940,0.768,35,170,7.51133333333333
"510010901004037","510010901004","51001090100",3,2,66.7,2,35,1.3,3,20.6666666666667,2.43333333333333
"510010901004038","510010901004","51001090100",4,4,100,30,2000,3,2000,751.25,512
"510010901004039","510010901004","51001090100",7,5,71.4,2,2000,0.768,2000,433.857142857143,293.295428571429
"510010901004040","510010901004","51001090100",6,5,83.3,2,2000,1.3,2000,505.333333333333,342.05
"510010901004041","510010901004","51001090100",7,5,71.4,2,2000,0.768,2000,433.571428571429,293.295428571429
"510010901004042","510010901004","51001090100",4,4,100,30,2000,3,2000,751.25,512
"510010901004043","510010901004","51001090100",7,5,71.4,2,2000,0.768,2000,433.857142857143,293.295428571429
"510010901004044","510010901004","51001090100",7,5,71.4,2,2000,0.768,2000,433.857142857143,293.295428571429
"510010901004045","510010901004","51001090100",8,5,62.5,2,2000,0.768,2000,381.25,256.8835
"510010901004046","510010901004","51001090100",7,5,71.4,2,2000,1.3,2000,435.285714285714,293.471428571429
"510010901004047","510010901004","51001090100",8,5,62.5,2,2000,0.768,2000,381.5,256.8835
"510010901004048","510010901004","51001090100",8,5,62.5,2,2000,0.768,2000,381.5,256.8835
"510010901004049","510010901004","51001090100",4,3,75,15,2000,2,2000,747.5,510
"510010901004050","510010901004","51001090100",5,4,80,15,2000,2,2000,604,410
"510010901004051","510010901004","51001090100",8,5,62.5,2,2000,0.768,2000,381.5,256.8835
"510010901004052","510010901004","51001090100",6,4,66.7,2,2000,1.3,2000,502.833333333333,340.716666666667
"510010901004053","510010901004","51001090100",7,4,57.1,2,2000,0.768,2000,431.714285714286,292.152571428571
"510010901004054","510010901004","51001090100",6,3,50,2,940,0.768,35,170,7.51133333333333
"510010901004055","510010901004","51001090100",7,4,57.1,2,2000,0.768,2000,431.714285714286,292.152571428571
"510010901004056","510010901004","51001090100",7,4,57.1,2,2000,0.768,2000,431.714285714286,292.152571428571
"510010901004057","510010901004","51001090100",6,3,50,2,940,0.768,35,170.333333333333,7.51133333333333
"510010901004058","510010901004","51001090100",6,3,50,2,940,0.768,35,170,7.51133333333333
"510010901004059","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004060","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004061","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
