STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,Year,June,July,August,JuneF,JulyF,AugustF,Totpcp,Totpcpinch
51,001,090500,1,510010905001,Block Group 1,2000,28.02,28.08,28.46,82.44,82.54,83.22,1244.75,49.01
51,001,090500,2,510010905002,Block Group 2,2000,27.86,27.87,28.29,82.16,82.16,82.93,1215.51,47.85
51,001,090500,3,510010905003,Block Group 3,2000,27.93,27.94,28.35,82.27,82.3,83.03,1208.68,47.59
51,001,090600,1,510010906001,Block Group 1,2000,28.65,28.67,28.93,83.57,83.6,84.07,1384.66,54.51
51,001,090600,2,510010906002,Block Group 2,2000,28.16,28.19,28.54,82.69,82.75,83.38,1236.13,48.67
51,001,090600,3,510010906003,Block Group 3,2000,28.12,28.12,28.49,82.61,82.62,83.28,1181.19,46.5
51,001,090600,4,510010906004,Block Group 4,2000,28.25,28.24,28.58,82.85,82.83,83.44,1213.24,47.77
51,001,090700,1,510010907001,Block Group 1,2000,28.02,28.01,28.41,82.44,82.42,83.14,1146.11,45.12
51,001,090700,2,510010907002,Block Group 2,2000,28.11,28.08,28.46,82.6,82.54,83.23,1148.54,45.22
51,001,090700,3,510010907003,Block Group 3,2000,28.19,28.15,28.51,82.75,82.66,83.32,1148.75,45.23
51,001,090700,4,510010907004,Block Group 4,2000,28.24,28.21,28.56,82.83,82.78,83.4,1193.14,46.97
51,001,090700,5,510010907005,Block Group 5,2000,28.43,28.39,28.69,83.18,83.11,83.64,1186.95,46.73
51,001,090800,1,510010908001,Block Group 1,2000,27.99,27.99,28.41,82.37,82.38,83.13,1084.04,42.68
51,001,090800,2,510010908002,Block Group 2,2000,28.13,28.08,28.49,82.63,82.55,83.28,1084.51,42.7
51,001,090800,3,510010908003,Block Group 3,2000,28.29,28.23,28.58,82.92,82.81,83.44,1130.06,44.49
51,001,980100,1,510019801001,Block Group 1,2000,27.13,27.26,27.87,80.84,81.06,82.17,1031.05,40.59
51,001,980200,1,510019802001,Block Group 1,2000,27.46,27.57,28.1,81.44,81.63,82.58,1129.7,44.48
51,001,990100,0,510019901000,Block Group 0,2000,27.51,27.59,28.13,81.52,81.67,82.63,1049,41.3
51,001,990200,0,510019902000,Block Group 0,2000,29.03,28.97,29.17,84.25,84.14,84.51,1326.1,52.21
51,131,930100,1,511319301001,Block Group 1,2000,28.54,28.47,28.75,83.38,83.25,83.75,1181.46,46.51
51,131,930100,2,511319301002,Block Group 2,2000,28.47,28.38,28.69,83.24,83.08,83.63,1164.62,45.85
51,131,930100,3,511319301003,Block Group 3,2000,28.37,28.3,28.63,83.07,82.93,83.53,1154.74,45.46
51,131,930100,4,511319301004,Block Group 4,2000,28.35,28.22,28.6,83.03,82.8,83.48,1133.35,44.62
51,131,930200,1,511319302001,Block Group 1,2000,28.6,28.5,28.77,83.47,83.29,83.79,1167.61,45.97
51,131,930200,2,511319302002,Block Group 2,2000,28.63,28.51,28.79,83.54,83.32,83.82,1196.52,47.11
51,131,930200,3,511319302003,Block Group 3,2000,28.73,28.59,28.85,83.71,83.46,83.93,1245.05,49.02
51,131,930200,4,511319302004,Block Group 4,2000,28.58,28.43,28.75,83.44,83.18,83.75,1198.46,47.18
51,131,930300,1,511319303001,Block Group 1,2000,28.77,28.61,28.87,83.78,83.5,83.97,1274.82,50.19
51,131,930300,2,511319303002,Block Group 2,2000,28.83,28.66,28.92,83.9,83.59,84.05,1312.55,51.68
51,131,930300,3,511319303003,Block Group 3,2000,28.67,28.47,28.81,83.61,83.25,83.86,1278.23,50.32
51,131,930300,4,511319303004,Block Group 4,2000,28.85,28.63,28.93,83.93,83.53,84.07,1375.02,54.13
51,131,990100,0,511319901000,Block Group 0,2000,28.63,28.4,28.78,83.53,83.13,83.81,1286.67,50.66
51,001,090100,1,510010901001,Block Group 1,2010,30.05,32.01,30.12,86.1,89.62,86.22,978.3,38.52
51,001,090100,2,510010901002,Block Group 2,2010,30.1,32.04,30.12,86.17,89.68,86.22,984.96,38.78
51,001,090100,3,510010901003,Block Group 3,2010,30.05,32.01,30.1,86.09,89.62,86.18,978.85,38.54
51,001,090100,4,510010901004,Block Group 4,2010,30.1,32.06,30.11,86.19,89.7,86.19,981.06,38.62
51,001,090200,1,510010902001,Block Group 1,2010,30.59,32.42,30.35,87.06,90.36,86.63,1048.59,41.28
