STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can
51,001,990100,0024,510019901000024,Block 0024,0
51,001,090400,4005,510010904004005,Block 4005,0
51,001,090600,2074,510010906002074,Block 2074,47.02283105022831
51,001,090500,3117,510010905003117,Block 3117,0
51,001,090500,3116,510010905003116,Block 3116,9.333333333333334
51,001,090700,3008,510010907003008,Block 3008,0
51,001,090700,3026,510010907003026,Block 3026,0
51,001,090700,5090,510010907005090,Block 5090,0
51,001,090400,1006,510010904001006,Block 1006,0.7413793103448276
51,001,090400,2089,510010904002089,Block 2089,1.4719101123595506
51,001,090400,3054,510010904003054,Block 3054,57.310344827586206
51,001,090400,3061,510010904003061,Block 3061,14.819484240687679
51,001,090400,2000,510010904002000,Block 2000,38.24299975651327
51,001,980200,1041,510019802001041,Block 1041,0.4838709677419355
51,001,090200,3015,510010902003015,Block 3015,15.5
51,001,090400,3050,510010904003050,Block 3050,0
51,001,980200,1177,510019802001177,Block 1177,0
51,001,980200,1234,510019802001234,Block 1234,0
51,001,980200,1180,510019802001180,Block 1180,0
51,001,980200,1172,510019802001172,Block 1172,0
51,001,980200,1190,510019802001190,Block 1190,0
51,001,090200,3021,510010902003021,Block 3021,0
51,001,090200,3028,510010902003028,Block 3028,0
51,001,090200,3023,510010902003023,Block 3023,0
51,001,090200,3025,510010902003025,Block 3025,0
51,001,090100,4113,510010901004113,Block 4113,0
51,001,090100,4079,510010901004079,Block 4079,3
51,001,090100,4126,510010901004126,Block 4126,0
51,001,090100,4127,510010901004127,Block 4127,0
51,001,980200,1165,510019802001165,Block 1165,0
51,001,980200,1193,510019802001193,Block 1193,0
51,001,090400,1098,510010904001098,Block 1098,0
51,001,980200,1162,510019802001162,Block 1162,0
51,001,980200,1164,510019802001164,Block 1164,0
51,001,090400,1082,510010904001082,Block 1082,0
51,001,090400,1097,510010904001097,Block 1097,0
51,001,090400,1085,510010904001085,Block 1085,0
51,001,090400,2018,510010904002018,Block 2018,0
51,001,090400,2015,510010904002015,Block 2015,0
51,001,980200,1166,510019802001166,Block 1166,0
51,001,090400,1046,510010904001046,Block 1046,60.295833333333334
51,001,980200,1192,510019802001192,Block 1192,0
51,001,090400,2013,510010904002013,Block 2013,0
51,001,090400,2016,510010904002016,Block 2016,0
51,001,090400,1096,510010904001096,Block 1096,0
51,001,090400,1101,510010904001101,Block 1101,0.10119047619047619
51,001,980100,1082,510019801001082,Block 1082,38.39473684210526
51,001,980200,1122,510019802001122,Block 1122,0.025740796168811735
51,001,980200,1130,510019802001130,Block 1130,4.135379061371841
51,001,090300,2069,510010903002069,Block 2069,28.68
51,001,090300,2061,510010903002061,Block 2061,41.85474860335196
51,001,090200,3169,510010902003169,Block 3169,0
51,001,090300,2064,510010903002064,Block 2064,72.81818181818181
51,001,090300,2067,510010903002067,Block 2067,80.9047619047619
51,001,090300,2070,510010903002070,Block 2070,40.829383886255926
51,001,090300,2078,510010903002078,Block 2078,16.29090909090909
51,001,090400,1058,510010904001058,Block 1058,0
51,001,090400,1057,510010904001057,Block 1057,34.47959183673469
51,001,090400,1059,510010904001059,Block 1059,61.706896551724135
51,001,090400,2061,510010904002061,Block 2061,35.80714285714286
51,001,090400,2067,510010904002067,Block 2067,9.444444444444445
51,001,090200,2193,510010902002193,Block 2193,0
51,001,090400,2012,510010904002012,Block 2012,15.376657824933687
51,001,090400,2069,510010904002069,Block 2069,33.55
51,001,090400,2080,510010904002080,Block 2080,1.7777777777777777
51,001,090400,2056,510010904002056,Block 2056,59.960072595281304
51,001,090200,2115,510010902002115,Block 2115,0
51,001,990100,0025,510019901000025,Block 0025,0
51,001,090400,1022,510010904001022,Block 1022,0
51,001,090400,3045,510010904003045,Block 3045,0
51,001,090700,4059,510010907004059,Block 4059,15.469135802469136
51,001,090600,2113,510010906002113,Block 2113,13
51,001,090400,3044,510010904003044,Block 3044,0
51,001,090500,2001,510010905002001,Block 2001,40.552
51,001,090700,5010,510010907005010,Block 5010,75.25537294563843
51,001,090700,2040,510010907002040,Block 2040,9.789473684210526
51,001,090800,2153,510010908002153,Block 2153,24.725694444444443
51,001,090800,2155,510010908002155,Block 2155,3.2777777777777777
51,001,090500,3059,510010905003059,Block 3059,65.57142857142857
51,001,090600,2174,510010906002174,Block 2174,9.097744360902256
51,001,090700,1081,510010907001081,Block 1081,25.04923599320883
51,001,090600,4131,510010906004131,Block 4131,5.666666666666667
51,001,090700,1007,510010907001007,Block 1007,12.75
51,001,090400,4149,510010904004149,Block 4149,48.151162790697676
51,001,090400,3129,510010904003129,Block 3129,0
51,001,090400,3095,510010904003095,Block 3095,43.96078431372549
51,001,090800,2114,510010908002114,Block 2114,50.21305418719212
51,001,090800,3080,510010908003080,Block 3080,4.32258064516129
51,001,090400,4106,510010904004106,Block 4106,7.538461538461538
51,001,090600,2010,510010906002010,Block 2010,0
51,001,090500,1004,510010905001004,Block 1004,0
51,001,090800,3090,510010908003090,Block 3090,0
51,001,090800,3115,510010908003115,Block 3115,0
51,001,090800,3114,510010908003114,Block 3114,0
51,001,090800,3116,510010908003116,Block 3116,0
51,001,090800,3111,510010908003111,Block 3111,0
51,001,090800,2050,510010908002050,Block 2050,14.368051492100644
51,001,980200,1028,510019802001028,Block 1028,0
51,001,090200,1050,510010902001050,Block 1050,80.5
51,001,090200,1051,510010902001051,Block 1051,83
51,001,980100,1057,510019801001057,Block 1057,0
51,001,980100,1049,510019801001049,Block 1049,0
51,001,980100,1017,510019801001017,Block 1017,0
51,001,980100,1012,510019801001012,Block 1012,2
51,001,090400,3030,510010904003030,Block 3030,0
51,001,090400,4129,510010904004129,Block 4129,1.6666666666666667
51,001,090800,2056,510010908002056,Block 2056,0
51,001,090800,2087,510010908002087,Block 2087,0
51,001,980200,1067,510019802001067,Block 1067,0
51,001,090400,2125,510010904002125,Block 2125,3.769230769230769
51,001,090400,1076,510010904001076,Block 1076,8.578947368421053
51,001,090400,1000,510010904001000,Block 1000,41.62874251497006
51,001,090400,3091,510010904003091,Block 3091,3.206896551724138
51,001,090500,1075,510010905001075,Block 1075,69.34210526315789
51,001,090500,2017,510010905002017,Block 2017,68.5
51,001,090500,2015,510010905002015,Block 2015,37.78125
51,001,090500,2101,510010905002101,Block 2101,8.602167182662539
51,001,090400,2045,510010904002045,Block 2045,3.1538461538461537
51,001,090400,3055,510010904003055,Block 3055,10.435185185185185
51,001,090200,1021,510010902001021,Block 1021,85.66666666666667
51,001,090400,3056,510010904003056,Block 3056,1.5294117647058822
51,001,090500,2062,510010905002062,Block 2062,22.363636363636363
51,001,090400,1038,510010904001038,Block 1038,34.4292343387471
51,001,980200,1074,510019802001074,Block 1074,0
51,001,980200,1229,510019802001229,Block 1229,0
51,001,980200,1091,510019802001091,Block 1091,0
51,001,980200,1066,510019802001066,Block 1066,0
51,001,090200,3100,510010902003100,Block 3100,44.12280701754386
51,001,090100,3031,510010901003031,Block 3031,5
51,001,980200,1069,510019802001069,Block 1069,0
51,001,090100,3032,510010901003032,Block 3032,0
51,001,090100,4049,510010901004049,Block 4049,2.5873015873015874
51,001,980200,1110,510019802001110,Block 1110,0
51,001,090100,3024,510010901003024,Block 3024,0
51,001,980200,1086,510019802001086,Block 1086,0
51,001,980200,1205,510019802001205,Block 1205,0
51,001,090800,3026,510010908003026,Block 3026,0
51,001,090800,3024,510010908003024,Block 3024,0
51,001,090200,1028,510010902001028,Block 1028,49.43497757847533
51,001,090200,1047,510010902001047,Block 1047,0
51,001,090200,1040,510010902001040,Block 1040,82.15099715099716
51,001,090200,2169,510010902002169,Block 2169,26.9618320610687
51,001,090400,2060,510010904002060,Block 2060,0
51,001,090500,1052,510010905001052,Block 1052,50.39162112932605
51,001,090400,2047,510010904002047,Block 2047,0
51,001,090200,3172,510010902003172,Block 3172,25.28205128205128
51,001,090500,1016,510010905001016,Block 1016,0
51,001,090500,1055,510010905001055,Block 1055,24.795313881520777
51,001,090100,3014,510010901003014,Block 3014,14.935483870967742
51,001,090400,1009,510010904001009,Block 1009,33.627334024896264
51,001,090100,3006,510010901003006,Block 3006,0
51,001,090100,3033,510010901003033,Block 3033,22.5
51,001,090400,2129,510010904002129,Block 2129,0
51,001,090400,1111,510010904001111,Block 1111,0.2692307692307692
51,001,090400,1114,510010904001114,Block 1114,0
51,001,090300,2071,510010903002071,Block 2071,20.25
51,001,090400,2137,510010904002137,Block 2137,0
51,001,090400,1001,510010904001001,Block 1001,58.294871794871796
51,001,090400,1119,510010904001119,Block 1119,0
51,001,090400,3022,510010904003022,Block 3022,0
51,001,090400,2169,510010904002169,Block 2169,0
51,001,090400,2172,510010904002172,Block 2172,0
51,001,090300,3039,510010903003039,Block 3039,28.073529411764707
51,001,090400,3160,510010904003160,Block 3160,0
51,001,980200,1209,510019802001209,Block 1209,0
51,131,930300,4247,511319303004247,Block 4247,15.648484848484848
51,131,930300,4257,511319303004257,Block 4257,0
51,131,930300,4253,511319303004253,Block 4253,0
51,131,930300,4226,511319303004226,Block 4226,0
51,131,990100,0019,511319901000019,Block 0019,0
51,131,930300,4224,511319303004224,Block 4224,0
51,131,930300,4227,511319303004227,Block 4227,0
51,131,930300,4058,511319303004058,Block 4058,0
51,131,930300,4266,511319303004266,Block 4266,0.24880382775119617
51,131,930300,2118,511319303002118,Block 2118,1.4155251141552512
51,131,930100,1002,511319301001002,Block 1002,23.791762013729976
51,131,930100,1006,511319301001006,Block 1006,23.304878048780488
51,131,930100,1011,511319301001011,Block 1011,24.468937875751504
51,131,930100,2007,511319301002007,Block 2007,36.810457516339866
51,131,930100,2026,511319301002026,Block 2026,30.611226611226613
51,131,930100,2020,511319301002020,Block 2020,36.81647940074907
51,131,930100,2022,511319301002022,Block 2022,48.41691713181623
51,131,930100,2004,511319301002004,Block 2004,42.660493827160494
51,131,930100,2031,511319301002031,Block 2031,23.159817351598175
51,131,930100,1058,511319301001058,Block 1058,35.52565445026178
51,131,930100,1107,511319301001107,Block 1107,16.53448275862069
51,131,930100,1083,511319301001083,Block 1083,0
51,131,930100,3015,511319301003015,Block 3015,42.96854663774403
51,131,930100,2035,511319301002035,Block 2035,0.8604651162790697
51,131,930100,1051,511319301001051,Block 1051,1.6451612903225807
51,131,930100,1026,511319301001026,Block 1026,0.7518248175182481
51,131,930100,1050,511319301001050,Block 1050,0
51,131,930100,1018,511319301001018,Block 1018,0
51,131,930100,1017,511319301001017,Block 1017,0.13258426966292136
51,131,930100,3030,511319301003030,Block 3030,83.91596638655462
51,131,930100,3026,511319301003026,Block 3026,23.967741935483872
51,131,930300,4001,511319303004001,Block 4001,0
51,131,930300,4035,511319303004035,Block 4035,0
51,131,930300,4012,511319303004012,Block 4012,0
51,131,930300,4023,511319303004023,Block 4023,0
51,131,930300,4027,511319303004027,Block 4027,0
51,131,930300,4013,511319303004013,Block 4013,0
51,131,930300,4314,511319303004314,Block 4314,0
51,131,930300,4015,511319303004015,Block 4015,0
