"blkgroup","medc_allworkersblkgr","medc_livewithin40blkgr","medc_25_resblkgr","workersInblkgr","liveoutsideRegionblkgr","liveinsideRegionblkgr","perc_workers_liveinRegionblkgr","perc_workers_liveoutsideRegionblkgr","workersw40blkgr","workers25blkgr","avgc_allworkersblkgr","avgc_livewithin40blkgr","avgc_25_resblkgr","county"
"510010904004",21.2753833386906,9.48751240551269,9.09315902512696,1534,183,1351,88.0704041720991,11.9295958279009,1370,1350,21.5929562040374,9.3347666571579,8.99454885076696,"51001"
"510010905001",6.94411819947237,6.94411819947237,6.94411819947237,7,1,6,85.7142857142857,14.2857142857143,6,6,21.1850120088366,6.55153675785871,6.55153675785871,"51001"
"510010905002",23.5886091799855,7.75620963354715,7.63444589943249,189,26,163,86.2433862433862,13.7566137566138,164,163,22.0957241103518,7.6190908590412,7.45167722114548,"51001"
"510010905003",35.732757237832,8.14950671289137,7.92629640978711,1877,403,1474,78.529568460309,21.470431539691,1483,1474,34.0079162399641,8.32248978660532,8.15727400292483,"51001"
"510010906001",33.821057397842,24.1491524303268,22.1527326469032,17,5,12,70.5882352941177,29.4117647058824,15,12,31.9974888986266,24.6010033492213,22.4152419425099,"51001"
"510010906002",30.4731471088053,5.48346560490422,5.48346560490422,16,4,12,75,25,13,12,25.404525665108,7.53767821743953,6.03825657581141,"51001"
"510010906003",36.3174983659694,7.79535436522748,7.13172808889702,314,89,225,71.656050955414,28.343949044586,234,225,34.7633338085797,8.16491355937679,7.03137380872537,"51001"
"510010906004",39.9008675454651,9.12271419559707,7.10806618459985,517,190,327,63.2495164410058,36.7504835589942,346,327,39.4792512492346,8.87656346500694,7.38203452017888,"51001"
"510010907001",50.1638875554348,8.99569769498354,7.00886375262226,659,237,422,64.0364188163885,35.9635811836115,453,421,46.0605595145061,9.14819342400628,7.26440136435542,"51001"
"510010907002",21.4684043215812,8.48900026572659,7.01948410890704,380,79,301,79.2105263157895,20.7894736842105,323,300,24.1371805859524,8.6437349662356,6.94742332801881,"51001"
"510010907003",43.682572945787,5.95678385107835,5.95678385107835,36,13,23,63.8888888888889,36.1111111111111,25,23,46.8706594988242,8.76327505452928,6.39894222208087,"51001"
"510010907004",45.8262731440421,8.43474168941852,7.51876148788829,81,24,57,70.3703703703704,29.6296296296296,59,57,40.8738857941538,7.30000771674288,6.70224196906805,"51001"
"510010907005",28.123494337601,9.61016553800847,9.61016553800847,30,4,26,86.6666666666667,13.3333333333333,26,26,35.6990928579461,8.21190212495405,8.21190212495405,"51001"
"510010908001",39.7316264983215,9.43560491098322,9.43560491098322,56,12,44,78.5714285714286,21.4285714285714,44,44,35.0805876631003,9.71301444538453,9.71301444538453,"51001"
"510010908002",24.7699668878888,10.319696891822,9.23262838109686,168,32,136,80.9523809523809,19.047619047619,147,134,26.8537402554512,10.0586633044787,8.55495627813687,"51001"
"510010908003",17.9678696489298,9.45464397072408,8.13259268777502,668,136,532,79.6407185628742,20.3592814371257,582,532,21.5184366951007,9.7827936186445,8.03041591252058,"51001"
"510019801001",25.8539408122976,13.13625253315,15.9681947548812,22,2,20,90.9090909090909,9.09090909090909,19,20,20.1275508505225,10.521807823457,12.6348896141535,"51001"
"510019802001",31.99416997298,6.7738138620448,6.7738138620448,32,8,24,75,25,24,24,31.4927201739737,7.21251318269447,7.21251318269447,"51001"
"511319301001",27.3767319039787,11.2329989872494,8.15317167512701,198,55,143,72.2222222222222,27.7777777777778,165,143,30.1952406198063,11.1591060474206,8.58137369270019,"51131"
"511319301002",37.4693297777257,11.669185665977,7.79202804131756,481,166,315,65.4885654885655,34.5114345114345,375,315,37.6962108205772,10.5739586424689,7.10189048043081,"51131"
"511319301003",36.7317789604274,9.50889094849157,7.49785902059035,409,143,266,65.0366748166259,34.9633251833741,306,266,38.2129267906575,10.1747399417098,7.05555465871127,"51131"
"511319301004",40.8809920293119,10.0450827901224,6.79984440936777,355,116,239,67.3239436619718,32.6760563380282,275,239,36.7620744265247,10.0473380270027,6.98021981657268,"51131"
"511319302001",14.2182636081644,7.20737993058595,5.83517953540253,114,25,89,78.0701754385965,21.9298245614035,96,87,23.8382657244597,7.96808252676412,6.02858687609075,"51131"
"511319302002",13.0301496827583,8.22094795621075,6.85578576950572,401,58,343,85.5361596009975,14.4638403990025,378,343,14.5250599964116,8.11198374844879,6.71005966388409,"51131"
"511319302003",24.2242529550915,9.16209048670418,7.7298874289869,315,63,252,80,20,282,252,21.2889685256281,8.74126484083765,7.33654143833177,"51131"
"511319302004",15.5140931074022,9.90399782545466,7.7210638313745,126,29,97,76.984126984127,23.015873015873,111,97,21.4793934850879,9.41221736506922,7.62608482565724,"51131"
"511319303001",13.1984388859706,8.79442538792242,5.71306076451658,179,39,140,78.2122905027933,21.7877094972067,162,140,13.468759802995,8.06457262153126,6.63030922384497,"51131"
"511319303002",17.4515471428338,8.83360101003698,7.1373085924543,700,181,519,74.1428571428571,25.8571428571429,626,519,16.4638639120945,8.61501959103501,7.64038861604317,"51131"
"511319303003",32.0308698026414,11.1812614013757,6.52633083319695,207,69,138,66.6666666666667,33.3333333333333,180,138,23.872021865364,9.40395948927545,5.83690969523309,"51131"
"511319303004",13.1724531861839,10.8940462006981,7.6491490224619,274,82,192,70.0729927007299,29.9270072992701,250,192,15.3034070784474,9.49174086495197,7.1666051066916,"51131"
