STATEFP,COUNTYFP,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can,imp_surf,blocks,cells,developed,forest,percent_dev,percent_for
51,131,930300,3078,511319303003078,Block 3078,0,0,167,247,0,0,0,0
51,131,990100,0003,511319901000003,Block 0003,0,0,168,318,0,0,0,0
51,131,930300,3076,511319303003076,Block 3076,0,0,169,663,0,0,0,0
51,131,930100,4146,511319301004146,Block 4146,0,0,170,46,0,0,0,0
51,131,930300,3077,511319303003077,Block 3077,0,0,171,653,0,0,0,0
51,131,930300,3073,511319303003073,Block 3073,0,0,172,3440,0,0,0,0
51,131,930300,4099,511319303004099,Block 4099,20.692307692307693,0.5192307692307693,173,52,3,7,5.769230769230769,13.461538461538462
51,131,930300,2213,511319303002213,Block 2213,38.30833333333333,5.525,174,120,32,39,26.666666666666668,32.5
51,131,930300,3257,511319303003257,Block 3257,0,12,175,1,1,0,100,0
51,131,930200,3072,511319302003072,Block 3072,0,16.75,176,4,1,0,25,0
51,131,930300,4094,511319303004094,Block 4094,0,3.374285714285714,177,350,34,0,9.714285714285714,0
51,131,930300,3251,511319303003251,Block 3251,0,32.3448275862069,178,29,29,0,100,0
51,131,930300,4071,511319303004071,Block 4071,50.0703125,3.25,179,128,20,35,15.625,27.34375
51,131,930200,1030,511319302001030,Block 1030,17.373368146214098,0.9295039164490861,180,383,36,67,9.39947780678851,17.4934725848564
51,131,930200,2105,511319302002105,Block 2105,0,25.5,181,2,2,0,100,0
51,131,930300,4117,511319303004117,Block 4117,0,2.312,182,125,14,0,11.200000000000001,0
51,131,930300,4145,511319303004145,Block 4145,4.333333333333333,25.333333333333332,183,3,3,0,100,0
51,131,930300,4142,511319303004142,Block 4142,0,13.455555555555556,184,90,40,0,44.44444444444444,0
51,131,930200,2042,511319302002042,Block 2042,18.118492811105604,1.4799206742687159,185,2017,181,540,8.973723351512147,26.772434308378777
51,131,930100,4208,511319301004208,Block 4208,12.5,13.5,186,2,2,0,100,0
51,131,930300,4210,511319303004210,Block 4210,0,44.8,187,15,15,0,100,0
51,131,930300,4186,511319303004186,Block 4186,0,1.3333333333333333,188,36,1,0,2.7777777777777777,0
