"census_tract","year","conventional","fha_insured","va_guaranteed","usda_guaranteed","home_purchase","home_improve","refinance","cash_out_refi","other_purpose","purposeNA","req_preapproval","noreq_preapproval","originated_loan","approvedApp_notAccepted","app_denied","app_withdrawn","fileclosed_incomplete","purchased_loan","denied_preapproval","approve_preapproval","appRace_AIAN","appRace_Asian","appRace_Black","appRace_HawPI","appRace_White","appRace_missing","appRace_NA","appRace_multiracial","appEth_HispLat","appMale","appFemale","appsex_missing","avg_rateSpread","highCost_mortgages","nonHighCost_mortgages","firstlien_secured","sublien_secured","avg_loan_amount","med_loan_amount","avg_app_income","median_app_income","median_income_accepted_app","white_denial_rate","black_denial_rate","hislat_denial_rate","loans_per_units","perc_conventional","perc_govern_backed","sum_mortgage_dollars_in000s","avg_homepurchase_loanamount","med_homepurchase_loanamount","total_apps","perc_app_missingRace","overall_denial_rate","perc_white_apps","perc_black_apps","perc_hislat_apps","population","minority_population","median_family_income","tract_to_msamd_income","tract_owner_occupied_units","tract_one_to_four_family_homes"
"51001090400",2014,95,16,9,4,55,19,0,0,0,0,1,8,48,3,47,5,10,11,0,0,1,0,40,0,66,12,5,1,2,68,42,9,3.61444444444444,0,124,97,5,117709.677419355,109,59594.5945945946,49000,60000,0.303030303030303,0.55,0.5,0.000137219700174955,79.1666666666667,20.8333333333333,5689,132.981818181818,122,124,9.67741935483871,0.379032258064516,53.2258064516129,32.258064516129,1.61290322580645,6234,62.6100006103516,52000,98.1399993896484,1562,2821
"51001090400",2015,80,30,16,5,49,24,0,0,0,0,5,9,51,4,41,15,7,13,0,0,0,0,37,0,68,17,9,0,3,66,45,11,1.73666666666667,0,131,98,0,130442.748091603,110,74910.7142857143,48000,61500,0.279411764705882,0.432432432432432,0.666666666666667,0.000138005309145422,62.7450980392157,37.2549019607843,7235,130.081632653061,102,131,12.9770992366412,0.312977099236641,51.9083969465649,28.2442748091603,2.29007633587786,6234,62.6100006103516,52700,98.1399993896484,1562,2821
"51001090400",2016,89,41,14,2,68,24,0,0,0,0,1,13,47,2,48,10,24,15,0,0,0,0,53,0,72,13,8,0,7,79,49,10,2.3525,0,146,117,4,121691.780821918,117.5,72685.4838709677,54000,73000,0.222222222222222,0.433962264150943,0.285714285714286,0.00011411478490577,63.8297872340426,36.1702127659575,6609,135.676470588235,138,146,8.9041095890411,0.328767123287671,49.3150684931507,36.3013698630137,4.79452054794521,6234,62.6100006103516,52300,98.1399993896484,1562,2821
"51001090400",2017,92,34,12,1,65,19,0,0,0,0,3,21,62,2,38,12,12,13,0,0,0,1,36,0,75,19,8,0,5,74,41,16,2.55,0,139,113,5,147007.194244604,130,87829.2682926829,64000,73000,0.213333333333333,0.444444444444444,0.4,0.000164470193756499,67.741935483871,32.258064516129,10385,162.769230769231,132,139,13.6690647482014,0.273381294964029,53.9568345323741,25.8992805755396,3.59712230215827,6328,64.8899993896484,53300,96.25,1448,2712
"51001090500",2012,57,13,6,7,37,12,0,0,0,0,2,5,31,5,27,8,2,10,0,0,0,0,13,0,60,9,1,0,2,46,30,6,3.4625,0,83,63,5,102903.614457831,99,68558.4415584416,55000,66000,0.283333333333333,0.538461538461538,0.5,0.000260093297983018,58.0645161290323,41.9354838709677,3258,116.513513513514,120,83,10.8433734939759,0.325301204819277,72.289156626506,15.6626506024096,2.40963855421687,2849,43.1699981689453,52600,101.650001525879,903,1436
"51001090500",2013,52,21,8,5,17,15,0,0,0,0,0,3,42,6,16,4,8,10,0,0,0,0,14,0,55,12,5,0,2,47,28,6,4.46,0,86,64,3,110674.418604651,116.5,64621.6216216216,53000,57000,0.145454545454545,0.357142857142857,0.5,0.000340091986784997,73.8095238095238,26.1904761904762,4404,130.235294117647,127,86,13.953488372093,0.186046511627907,63.953488372093,16.2790697674419,2.32558139534884,2849,43.1699981689453,51600,101.650001525879,903,1436
"51001090500",2014,38,11,11,2,17,9,0,0,0,0,0,5,26,1,19,4,3,9,0,0,0,1,9,0,38,6,8,0,1,33,18,3,2.51,0,62,46,3,128387.096774194,117,78283.0188679245,58000,66500,0.394736842105263,0.222222222222222,1,0.000292029831970527,69.2307692307692,30.7692307692308,4278,106.294117647059,118,62,9.67741935483871,0.306451612903226,61.2903225806452,14.5161290322581,1.61290322580645,2849,43.1699981689453,52000,105.51000213623,903,1436
"51001090500",2015,33,20,6,5,27,10,0,0,0,0,1,9,25,0,19,8,4,8,0,0,0,1,14,0,38,8,3,1,2,35,22,4,1.75,0,64,50,0,110796.875,109,69789.4736842105,53000,57000,0.210526315789474,0.5,0.5,0.000272022980501393,52,48,2750,125.333333333333,109,64,12.5,0.296875,59.375,21.875,3.125,2849,43.1699981689453,52700,105.51000213623,903,1436
"51001090500",2016,40,18,9,4,26,5,0,0,0,0,0,10,32,2,23,5,0,9,0,0,0,0,10,0,50,6,5,0,3,47,17,2,2.12666666666667,0,71,56,3,127056.338028169,125,70639.3442622951,67000,69000,0.26,0.7,0.333333333333333,0.000313860881164424,59.375,40.625,3694,121.384615384615,122,71,8.45070422535211,0.323943661971831,70.4225352112676,14.0845070422535,4.22535211267606,2849,43.1699981689453,52300,105.51000213623,903,1436
"51001090500",2017,37,19,4,3,28,13,0,0,0,0,1,8,25,3,18,9,2,6,0,0,0,0,12,0,36,11,4,0,7,29,23,7,3.65666666666667,0,63,48,0,87603.1746031746,80,49490.9090909091,46000,46000,0.194444444444444,0.583333333333333,0,0.000303383330906267,64,36,1941,101.142857142857,103,63,17.4603174603175,0.285714285714286,57.1428571428571,19.047619047619,11.1111111111111,2501,39.6599998474121,53300,77.5899963378906,773,1308
