Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId
Walgreens 18229,4053 Lankford Hwy,NA,Exmore,VA,23350,2643,NORTHAMPTON,-75.831566,37.522545,150656
Walgreens 17128,25096 Lankford Hwy,NA,Onley,VA,23418,2810,ACCOMACK,-75.714874,37.699726,151999
Food Lion 2508,22485 Lankford Hwy,NA,Cape Charles,VA,23310,2101,NORTHAMPTON,-75.974541,37.268814,161467
Walmart Supercenter 4378,26036 Lankford Hwy,NA,Onley,VA,23418,3005,ACCOMACK,-75.722458,37.687172,161764
Onley Goose Creek 18,25188 Lankford Hwy,NA,Onley,VA,23418,2811,ACCOMACK,-75.718033,37.697227,166276
SUSANS SEAFOOD,4222 Lankford Hwy,NA,New Church,VA,23415,3139,ACCOMACK,-75.530365,37.979393,174954
E&C ENTERPRISES VA 600,6492 Maddox Blvd,NA,Chincoteague,VA,23336,2245,ACCOMACK,-75.361481,37.931679,181541
E&C ENTERPRISES VA 602,6480 LANKFORD HWY,NA,OAK HALL,VA,23416,NA,ACCOMACK,-75.543579,37.940193,181851
ROYAL FARMS 103,20474 Lankford Hwy,NA,Parksley,VA,23421,3748,ACCOMACK,-75.621368,37.757137,183598
Food Lion 2555,7013 Lankford Hwy,NA,Oak Hall,VA,23416,NA,ACCOMACK,-75.542053,37.942188,184302
CVS PHARMACY 1570,25201 Lankford Hwy,NA,Onley,VA,23418,2821,ACCOMACK,-75.718498,37.696255,189090
Shore Stop 200,23135 Lankford Hwy,NA,Accomac,VA,23301,1322,ACCOMACK,-75.671844,37.726505,190521
Shore Stop 215,28488 Lankford Hwy,NA,Melfa,VA,23410,3723,ACCOMACK,-75.742912,37.649384,190523
Shore Stop 202,4130 Main St,NA,Chincoteague Island,VA,23336,2465,ACCOMACK,-75.37529,37.934601,190970
Royal Farms 108,29214 Lankford Highway,NA,Cape Charles,VA,23310,NA,NORTHAMPTON,-75.969025,37.179222,191669
B&B CONVENIENCE STORE,13001 Lankford Hwy,NA,Machipongo,VA,23405,1721,NORTHAMPTON,-75.904305,37.403435,196163
Dollar General 3670,25296 Lankford Hwy,NA,Onley,VA,23418,2812,ACCOMACK,-75.719749,37.695221,197303
Shore Stop 218,16476 LANKFORD HWY,NA,EASTVILLE,VA,23347,NA,NORTHAMPTON,-75.938744,37.350014,198129
Shore Stop 204,7410 LANKFORD HWY,NA,NASSAWADOX,VA,23413,NA,NORTHAMPTON,-75.858559,37.475109,198913
Shore Stop 205,22177 Lankford Hwy,NA,Cape Charles,VA,23310,2503,NORTHAMPTON,-75.977074,37.277107,198915
Dollar General Store 475,3435 Lankford Hwy,NA,Exmore,VA,23350,2648,NORTHAMPTON,-75.831039,37.528553,200842
MATTHEWS IGA,14141 LANKFORD HWY,NA,MAPPSVILLE,VA,23407,NA,ACCOMACK,-75.566963,37.846073,201131
Island Foods Great Valu,6277 Cleveland St,NA,Chincoteague Island,VA,23336,2443,ACCOMACK,-75.377007,37.933247,204158
Dollar General 474,8494 Country Pl,NA,Cape Charles,VA,23310,2751,NORTHAMPTON,-75.966949,37.272812,208938
E&C ENTERPRISES VA 605,114 Market St,NA,Onancock,VA,23417,4225,ACCOMACK,-75.739891,37.710384,218667
Dollar General 15072,33156 Lankford Hwy,NA,Painter,VA,23420,2637,ACCOMACK,-75.782166,37.590282,220563
Dollar General 21488,16512 Lankford Hwy,NA,Eastville,VA,23347,NA,NORTHAMPTON,-75.939156,37.34919,235341
Casa Hispana,8020 Lankford Hwy,NA,Oak Hall,VA,23416,2148,ACCOMACK,-75.548401,37.930405,237213
Maranatha Supermarket,25524 East Main St,NA,Onley,VA,23418,2929,ACCOMACK,-75.715836,37.690247,241417
