Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,ObjectId,geometry
La Confianza Tienda Latina,288 N Main St,NA,Harrisonburg,VA,22802,3821,HARRISONBURG,146000,"c(-78.867821, 38.452232)"
Costco Wholesale 1184,3171 District Ave,NA,Charlottesville,VA,22901,2784,ALBEMARLE,146335,"c(-78.490982, 38.068451)"
Kidds Store LLC,8469 W River Rd,NA,Scottsville,VA,24590,4688,ALBEMARLE,146562,"c(-78.360062, 37.804169)"
Dollar Tree 17,1663 E Market St,NA,Harrisonburg,VA,22801,5116,HARRISONBURG,146826,"c(-78.845909, 38.433804)"
KEYSTONE GROCERY,14008 W Catharpin Rd,NA,Spotsylvania,VA,22551,5328,SPOTSYLVANIA,148274,"c(-77.820076, 38.219093)"
Food Lion 1576,Highway 20 BUCKINGHAM PLAZA,NA,DILLWYN,VA,23936,NA,BUCKINGHAM,148498,"c(-78.474983, 37.542171)"
Caul's Grocery,4530 Monacan Trail Rd,NA,North Garden,VA,22959,2215,ALBEMARLE,148773,"c(-78.681305, 37.921993)"
Nishivansh Llc,2231 W Beverley St,NA,Staunton,VA,24401,2903,STAUNTON,149271,"c(-79.10231, 38.155216)"
La Guadalupana,221 Carlton Rd,Ste 15,Charlottesville,VA,22902,5983,CHARLOTTESVILLE,149764,"c(-78.46936, 38.023621)"
Quick Mart,1207 Grady Ave,NA,Charlottesville,VA,22903,2222,CHARLOTTESVILLE,150276,"c(-78.494614, 38.039597)"
Food Lion 1536,32 Mill Creek Dr,NA,Charlottesville,VA,22902,8718,CHARLOTTESVILLE,154459,"c(-78.49675, 38.000114)"
Costco Wholesale 0238,1830 Reservoir St,NA,Harrisonburg,VA,22801,8742,HARRISONBURG,155044,"c(-78.855499, 38.428768)"
Walmart Supercenter 4682,164 Camp Creek Pkwy,NA,Gordonsville,VA,22942,6878,ORANGE,157070,"c(-78.208679, 37.979435)"
Route 20 Market,3407 S Constitution Rte,NA,Dillwyn,VA,23936,2232,BUCKINGHAM,158553,"c(-78.500504, 37.586655)"
Harrisonburg Farmers Market,228 S Liberty St,NA,Harrisonburg,VA,22801,3622,HARRISONBURG,158778,"c(-78.871307, 38.446739)"
MERCADO WORLD FOODS,900 Gardens Blvd,Ste 300,Charlottesville,VA,22901,1469,ALBEMARLE,158850,"c(-78.470573, 38.083839)"
Afghan Grand Market,323 W Main St,NA,Charlottesville,VA,22903,5537,CHARLOTTESVILLE,158912,"c(-78.486061, 38.03056)"
C'ville Oriental,1195 Seminole Trl,NA,Charlottesville,VA,22901,2828,ALBEMARLE,159801,"c(-78.4851, 38.069069)"
Mineral Farmer's Market,81 Louisa Ave,NA,Mineral,VA,23117,4048,LOUISA,159872,"c(-77.907379, 38.012699)"
Sheetz 323,5504 Germanna Hwy,NA,Locust Grove,VA,22508,2019,ORANGE,160473,"c(-77.729088, 38.326538)"
CVS Pharmacy 1551,1341 Long St,NA,Charlottesville,VA,22901,4935,ALBEMARLE,161219,"c(-78.459389, 38.035)"
Family Dollar 3224,26 Clore Dr,NA,Ruckersville,VA,22968,3701,GREENE,161979,"c(-78.376656, 38.222492)"
Dollar General 17910,17475 Louisa Rd,NA,Louisa,VA,23093,4439,LOUISA,162252,"c(-78.075623, 38.051258)"
Go Mart Inc 128,3373 Lee Hwy,NA,Weyers Cave,VA,24486,2211,AUGUSTA,162412,"c(-78.935646, 38.28952)"
Fas Mart 3555,11497 James Madison Highway,NA,Gordonsville,VA,22942,NA,ORANGE,162681,"c(-78.216553, 37.97369)"
Go Mart Inc 129,596 Mount Hermon Rd,NA,Elkton,VA,22827,3029,ROCKINGHAM,163001,"c(-78.655197, 38.404671)"
Walmart Neighborhood Market 7177,1942 Port Republic Rd,NA,Rockingham,VA,22801,3532,HARRISONBURG,163447,"c(-78.862907, 38.404884)"
Dollar General 14639,1500 New Bridge Rd,NA,Mineral,VA,23117,4955,LOUISA,164413,"c(-77.853081, 38.082699)"
CVS Pharmacy 947,28 Abby Rd,NA,Palmyra,VA,22963,2085,FLUVANNA,164496,"c(-78.31221, 37.899475)"
